run_id,frame,elapsed_seconds,simulation_time,round_number,paused,ai_enabled,ai_mode,ai_last_action,manual_override,root_tip_count,active_tip_count,root_segment_count,branch_count,attachment_count,detach_count,collision_count,wrap_count,mark_count,spill_count,transfer_count,absorption_events,total_absorbed,water_remaining,depleted_water_pockets,droplet_count,fragment_count,nearest_water_x,nearest_water_y,nearest_water_z,lead_tip_x,lead_tip_y,lead_tip_z,lead_tip_dir_x,lead_tip_dir_y,lead_tip_dir_z,lead_tip_radius,active_rock_wrap_scores,stagnation_seconds,completion_seconds
20260527-223625-sentence-script-a-central-root-cylinder-b0ff51,137,4.268,4.567,1,0,1,artistic_mark,new_round,0,6,6,355,5,5,0,0,0,47,0,135,135,1.29335,6.33435,1,0,0,0.0657,-2.7672,0.9421,-2.0726,-0.8124,2.2713,-0.0053,-0.9889,-0.1486,0.13764,0.00000,0.000,0.000
20260527-223625-sentence-script-a-central-root-cylinder-b0ff51,145,4.534,4.833,1,0,1,artistic_mark,new_round,0,6,6,403,5,5,0,0,0,52,0,135,135,1.29335,6.33435,1,0,0,0.0657,-2.7672,0.9421,-2.0241,-1.4475,2.0986,0.2199,-0.8925,-0.3939,0.13764,0.00000,0.000,0.000
20260527-223625-sentence-script-a-central-root-cylinder-b0ff51,153,4.801,5.100,1,0,1,artistic_mark,new_round,0,7,7,458,6,6,0,0,0,56,0,135,135,1.29335,6.33435,1,0,0,0.0657,-2.7672,0.9421,-1.8070,-2.0147,1.8400,0.4387,-0.7101,-0.5507,0.13764,0.00000,0.000,0.000
20260527-223625-sentence-script-a-central-root-cylinder-b0ff51,161,5.068,5.367,1,0,1,artistic_mark,new_round,0,8,8,521,7,7,0,0,0,58,0,135,135,1.29335,6.33435,1,0,0,0.0657,-2.7672,0.9421,-1.4227,-2.4866,1.5617,0.7070,-0.5316,-0.4664,0.13764,0.00000,0.000,0.000
20260527-223625-sentence-script-a-central-root-cylinder-b0ff51,169,5.335,5.633,1,0,1,artistic_mark,new_round,0,9,9,587,8,8,0,0,0,63,0,144,144,1.38224,6.24546,1,0,0,0.0657,-2.7672,0.9421,-0.9461,-2.8588,1.2951,0.8493,-0.4470,-0.2809,0.13764,0.00000,0.000,0.000
20260527-223625-sentence-script-a-central-root-cylinder-b0ff51,177,5.605,5.900,1,0,1,artistic_mark,new_round,0,11,11,667,10,10,0,0,0,72,0,182,182,1.75721,5.87049,1,0,0,0.0657,-2.7672,0.9421,-0.3375,-3.0529,1.1037,0.9371,0.0041,-0.3491,0.13845,0.00000,0.000,0.000
20260527-223625-sentence-script-a-central-root-cylinder-b0ff51,185,5.874,6.167,1,0,1,artistic_mark,new_round,0,12,12,760,11,11,0,0,0,81,0,228,228,2.21251,5.40143,2,0,0,1.4642,-2.9360,-0.3542,0.1870,-2.8918,1.0815,0.5869,-0.3761,0.7170,0.14136,0.00000,0.000,0.000
20260527-223625-sentence-script-a-central-root-cylinder-b0ff51,193,6.141,6.433,1,0,1,artistic_mark,new_round,0,12,12,856,11,11,0,0,0,86,0,228,228,2.21251,5.40143,2,0,0,1.4642,-2.9360,-0.3542,0.3557,-3.2080,1.6196,0.1594,-0.3602,0.9192,0.14136,0.00000,0.000,0.000
20260527-223625-sentence-script-a-central-root-cylinder-b0ff51,201,6.408,6.700,1,0,1,artistic_mark,new_round,0,13,13,958,12,12,0,0,0,90,0,230,230,2.23503,5.37891,2,0,0,1.4642,-2.9360,-0.3542,0.6537,-3.5259,2.1210,0.6921,-0.4505,0.5639,0.14136,0.00000,0.000,0.000
20260527-223625-sentence-script-a-central-root-cylinder-b0ff51,209,6.675,6.967,1,0,1,artistic_mark,new_round,0,16,15,1071,15,15,0,0,0,109,0,286,286,2.78474,4.82919,2,0,0,1.4642,-2.9360,-0.3542,1.1588,-3.8331,2.2940,0.8627,-0.4901,-0.1249,0.14136,0.00000,0.000,0.000
20260527-223625-sentence-script-a-central-root-cylinder-b0ff51,217,6.943,7.233,1,0,1,artistic_mark,new_round,0,18,17,1196,17,17,0,0,0,126,0,358,358,3.47492,4.13901,2,0,0,1.4642,-2.9360,-0.3542,1.6416,-4.1969,2.0179,0.5064,-0.4453,-0.7384,0.14136,0.00000,0.000,0.000
20260527-223625-sentence-script-a-central-root-cylinder-b0ff51,225,7.212,7.500,1,0,1,ritual_wrap,switch_to_ritual_wrap,0,18,0,1250,17,17,0,0,0,133,0,380,380,3.68380,3.91215,3,0,0,2.0599,-1.1448,1.9987,1.7654,-4.2945,1.8181,0.4114,-0.3000,-0.8607,0.14136,0.00000,0.000,0.100
20260527-223625-sentence-script-a-central-root-cylinder-b0ff51,233,7.479,7.767,1,0,1,ritual_wrap,switch_to_ritual_wrap,0,18,0,1250,17,17,0,0,0,133,0,380,380,3.68380,3.91215,3,0,0,2.0599,-1.1448,1.9987,1.7654,-4.2945,1.8181,0.4114,-0.3000,-0.8607,0.14136,0.00000,0.000,0.367
20260527-223625-sentence-script-a-central-root-cylinder-b0ff51,241,7.743,8.033,1,0,1,ritual_wrap,switch_to_ritual_wrap,0,18,0,1250,17,17,0,0,0,133,0,380,380,3.68380,3.91215,3,0,0,2.0599,-1.1448,1.9987,1.7654,-4.2945,1.8181,0.4114,-0.3000,-0.8607,0.14136,0.00000,0.000,0.633
20260527-223625-sentence-script-a-central-root-cylinder-b0ff51,249,8.010,8.300,1,0,1,ritual_wrap,switch_to_ritual_wrap,0,18,0,1250,17,17,0,0,0,133,0,380,380,3.68380,3.91215,3,0,0,2.0599,-1.1448,1.9987,1.7654,-4.2945,1.8181,0.4114,-0.3000,-0.8607,0.14136,0.00000,0.000,0.900
