run_id,time_seconds,frame,row_type,object_id,object_kind,round_number,ai_enabled,ai_mode,ai_mode_time,ai_stagnant,ai_completed,boundary_mode,paused,predator_speed_multiplier,active_prey_count,caught_this_round,total_caught,marks_count,particles_count,x,y,z,vx,vy,vz,speed,forward_x,forward_y,forward_z,caught,captor,caught_timer,fear,orbit_radius,max_speed,nearest_predator_distance,nearest_prey_distance,coral_radius,coral_height,mark_intensity,mark_life,particle_life,extra
20260526-184725-sentence-script-a-school-of-small-fish-s-be46e0,0.0167,1,prey,13,prey,1,True,HUNT,0.0167,False,False,bounce,False,1.0,45,1,1,2,45,-1.25438,2.12023,-5.38831,1.09416,-0.45974,1.19794,1.6863,,,,False,,0.0,0.42882,1.18413,3.46328,4.39047,,,,,,,
20260526-184725-sentence-script-a-school-of-small-fish-s-be46e0,0.0167,1,prey,14,prey,1,True,HUNT,0.0167,False,False,bounce,False,1.0,45,1,1,2,45,-6.7838,-4.14637,-7.59351,1.68886,0.86689,0.29465,1.92108,,,,False,,0.0,0,1.2206,3.09334,9.44695,,,,,,,
20260526-184725-sentence-script-a-school-of-small-fish-s-be46e0,0.0167,1,prey,15,prey,1,True,HUNT,0.0167,False,False,bounce,False,1.0,45,1,1,2,45,0.86504,4.15714,-5.89844,-1.41533,1.09097,-0.84211,1.97548,,,,False,,0.0,0.17412,1.96755,3.15013,6.35769,,,,,,,
20260526-184725-sentence-script-a-school-of-small-fish-s-be46e0,0.0167,1,prey,16,prey,1,True,HUNT,0.0167,False,False,bounce,False,1.0,45,1,1,2,45,9.31387,7.20845,1.13647,0.46806,0.86398,-1.56948,1.85171,,,,False,,0.0,0,1.82533,3.41888,9.57927,,,,,,,
20260526-184725-sentence-script-a-school-of-small-fish-s-be46e0,0.0167,1,prey,17,prey,1,True,HUNT,0.0167,False,False,bounce,False,1.0,45,1,1,2,45,-10.19225,7.26174,-4.43986,0.90094,0.97813,-0.76346,1.5334,,,,False,,0.0,0,1.63774,3.19362,8.77509,,,,,,,
20260526-184725-sentence-script-a-school-of-small-fish-s-be46e0,0.0167,1,prey,18,prey,1,True,HUNT,0.0167,False,False,bounce,False,1.0,45,1,1,2,45,9.84694,-4.80593,-8.61416,-1.69949,0.52495,0.22644,1.79307,,,,False,,0.0,0,1.45456,3.66034,13.78715,,,,,,,
20260526-184725-sentence-script-a-school-of-small-fish-s-be46e0,0.0167,1,prey,19,prey,1,True,HUNT,0.0167,False,False,bounce,False,1.0,45,1,1,2,45,-3.20774,6.06058,0.46663,-0.68529,0.78912,-2.08456,2.33189,,,,False,,0.0,0.44846,2.16516,3.38207,4.24037,,,,,,,
20260526-184725-sentence-script-a-school-of-small-fish-s-be46e0,0.0167,1,prey,20,prey,1,True,HUNT,0.0167,False,False,bounce,False,1.0,45,1,1,2,45,-4.80483,-2.66169,-1.41878,-1.06466,-0.64992,-1.55075,1.99016,,,,False,,0.0,0.32507,1.64008,3.12193,5.21089,,,,,,,
20260526-184725-sentence-script-a-school-of-small-fish-s-be46e0,0.0167,1,prey,21,prey,1,True,HUNT,0.0167,False,False,bounce,False,1.0,45,1,1,2,45,7.64364,6.22049,-5.98533,-0.29286,-1.20226,1.40534,1.87248,,,,False,,0.0,0,1.77903,3.75325,9.96305,,,,,,,
20260526-184725-sentence-script-a-school-of-small-fish-s-be46e0,0.0167,1,prey,22,prey,1,True,HUNT,0.0167,False,False,bounce,False,1.0,45,1,1,2,45,-11.06417,1.20405,-5.53708,-1.86232,-0.31317,1.08396,2.17745,,,,False,,0.0,0,1.46273,3.34235,8.62314,,,,,,,
20260526-184725-sentence-script-a-school-of-small-fish-s-be46e0,0.0167,1,prey,23,prey,1,True,HUNT,0.0167,False,False,bounce,False,1.0,45,1,1,2,45,-5.34779,-5.82635,1.52372,-0.66439,1.28354,1.2073,1.8832,,,,False,,0.0,0,1.03601,3.22181,8.9755,,,,,,,
20260526-184725-sentence-script-a-school-of-small-fish-s-be46e0,0.0167,1,prey,24,prey,1,True,HUNT,0.0167,False,False,bounce,False,1.0,45,1,1,2,45,12.03543,4.23809,-3.46383,-1.48031,1.7147,-0.12584,2.26877,,,,False,,0.0,0,1.68764,3.67096,11.44529,,,,,,,
20260526-184725-sentence-script-a-school-of-small-fish-s-be46e0,0.0167,1,prey,25,prey,1,True,HUNT,0.0167,False,False,bounce,False,1.0,45,1,1,2,45,-4.80232,-0.87061,2.59394,0.72203,0.82243,-1.13904,1.5796,,,,False,,0.0,0.28586,1.34459,3.89045,5.47325,,,,,,,
20260526-184725-sentence-script-a-school-of-small-fish-s-be46e0,0.0167,1,prey,26,prey,1,True,HUNT,0.0167,False,False,bounce,False,1.0,45,1,1,2,45,-11.43576,-5.6976,-1.07188,-0.75024,0.0034,1.46933,1.64979,,,,False,,0.0,0,1.64598,3.73678,11.34811,,,,,,,
20260526-184725-sentence-script-a-school-of-small-fish-s-be46e0,0.0167,1,prey,27,prey,1,True,HUNT,0.0167,False,False,bounce,False,1.0,45,1,1,2,45,7.81701,6.07804,2.59613,0.61586,-1.96892,0.11016,2.06593,,,,False,,0.0,0,1.85868,3.71575,7.97777,,,,,,,
20260526-184725-sentence-script-a-school-of-small-fish-s-be46e0,0.0167,1,prey,28,prey,1,True,HUNT,0.0167,False,False,bounce,False,1.0,45,1,1,2,45,9.2446,5.03595,1.41021,1.01748,-1.20886,1.43248,2.13275,,,,False,,0.0,0,1.2805,3.34625,8.44573,,,,,,,
20260526-184725-sentence-script-a-school-of-small-fish-s-be46e0,0.0167,1,prey,29,prey,1,True,HUNT,0.0167,False,False,bounce,False,1.0,45,1,1,2,45,-12.55389,7.02037,-7.15852,-0.87702,0.36543,1.20119,1.53152,,,,False,,0.0,0,1.84767,3.37866,11.60923,,,,,,,
20260526-184725-sentence-script-a-school-of-small-fish-s-be46e0,0.0167,1,prey,30,prey,1,True,HUNT,0.0167,False,False,bounce,False,1.0,45,1,1,2,45,-13.40124,0.67569,-2.67344,1.09342,-0.42165,0.95738,1.51325,,,,False,,0.0,0,1.91838,3.28234,10.12477,,,,,,,
20260526-184725-sentence-script-a-school-of-small-fish-s-be46e0,0.0167,1,prey,31,prey,1,True,HUNT,0.0167,False,False,bounce,False,1.0,45,1,1,2,45,13.07841,1.85927,-1.65947,0.76024,-0.06305,1.43915,1.62883,,,,False,,0.0,0,2.06775,3.32599,11.65954,,,,,,,
20260526-184725-sentence-script-a-school-of-small-fish-s-be46e0,0.0167,1,prey,32,prey,1,True,HUNT,0.0167,False,False,bounce,False,1.0,45,1,1,2,45,11.90031,-5.80647,-6.10941,1.10665,0.07689,1.38206,1.77219,,,,False,,0.0,0,1.87705,3.19115,14.24204,,,,,,,
20260526-184725-sentence-script-a-school-of-small-fish-s-be46e0,0.0167,1,prey,33,prey,1,True,HUNT,0.0167,False,False,bounce,False,1.0,45,1,1,2,45,4.08062,6.931,-6.99992,0.6186,-1.74309,0.14564,1.85533,,,,False,,0.0,0,1.40849,3.13787,9.49443,,,,,,,
20260526-184725-sentence-script-a-school-of-small-fish-s-be46e0,0.0167,1,prey,34,prey,1,True,HUNT,0.0167,False,False,bounce,False,1.0,45,1,1,2,45,-3.57513,-0.36373,3.05718,-0.11515,0.63156,1.76643,1.87947,,,,False,,0.0,0.29978,1.0688,3.87882,5.41171,,,,,,,
20260526-184725-sentence-script-a-school-of-small-fish-s-be46e0,0.0167,1,prey,35,prey,1,True,HUNT,0.0167,False,False,bounce,False,1.0,45,1,1,2,45,5.44548,4.74601,4.84551,-0.02014,0.99994,-1.1761,1.54385,,,,False,,0.0,0.13414,2.10231,3.85762,6.66183,,,,,,,
20260526-184725-sentence-script-a-school-of-small-fish-s-be46e0,0.0167,1,prey,36,prey,1,True,HUNT,0.0167,False,False,bounce,False,1.0,45,1,1,2,45,-5.9528,-3.18032,-6.78286,-0.27184,-0.84047,-2.00221,2.18841,,,,False,,0.0,0,1.51525,3.73865,7.98321,,,,,,,
20260526-184725-sentence-script-a-school-of-small-fish-s-be46e0,0.0167,1,prey,37,prey,1,True,HUNT,0.0167,False,False,bounce,False,1.0,45,1,1,2,45,-7.7832,6.99535,-0.1789,-1.19888,0.61652,0.57465,1.46548,,,,False,,0.0,0.16172,1.6307,3.5365,6.47746,,,,,,,
20260526-184725-sentence-script-a-school-of-small-fish-s-be46e0,0.0167,1,prey,38,prey,1,True,HUNT,0.0167,False,False,bounce,False,1.0,45,1,1,2,45,-0.80245,-4.19353,8.29167,-0.37354,0.62322,-1.48279,1.65125,,,,False,,0.0,0,1.83088,3.50488,10.03692,,,,,,,
20260526-184725-sentence-script-a-school-of-small-fish-s-be46e0,0.0167,1,prey,39,prey,1,True,HUNT,0.0167,False,False,bounce,False,1.0,45,1,1,2,45,12.25175,-2.64644,-0.79352,-1.38724,1.02682,0.62205,1.83459,,,,False,,0.0,0,1.31023,3.41454,11.50601,,,,,,,
20260526-184725-sentence-script-a-school-of-small-fish-s-be46e0,0.0167,1,prey,40,prey,1,True,HUNT,0.0167,False,False,bounce,False,1.0,45,1,1,2,45,-12.16294,6.77601,8.42115,-0.27859,1.21259,1.94223,2.30656,,,,False,,0.0,0,1.72274,3.81615,13.98084,,,,,,,
20260526-184725-sentence-script-a-school-of-small-fish-s-be46e0,0.0167,1,prey,41,prey,1,True,HUNT,0.0167,False,False,bounce,False,1.0,45,1,1,2,45,-4.07975,3.08161,-2.35387,-2.12993,-0.86532,0.39165,2.33211,,,,True,1,0.0,0.84595,1.3646,3.08653,1.19091,,,,,,,
20260526-184725-sentence-script-a-school-of-small-fish-s-be46e0,0.0167,1,prey,42,prey,1,True,HUNT,0.0167,False,False,bounce,False,1.0,45,1,1,2,45,-4.33142,0.1849,-8.19234,1.33249,-0.30153,0.91963,1.64687,,,,False,,0.0,0.09033,2.05608,3.08236,6.98888,,,,,,,
20260526-184725-sentence-script-a-school-of-small-fish-s-be46e0,0.0167,1,prey,43,prey,1,True,HUNT,0.0167,False,False,bounce,False,1.0,45,1,1,2,45,-2.57487,5.46692,-5.0471,-1.75588,0.30561,-0.84105,1.97076,,,,False,,0.0,0.38919,1.09885,3.70302,4.71113,,,,,,,
20260526-184725-sentence-script-a-school-of-small-fish-s-be46e0,0.0167,1,prey,44,prey,1,True,HUNT,0.0167,False,False,bounce,False,1.0,45,1,1,2,45,11.99096,4.49673,5.5127,0.55656,-0.80073,1.16719,1.52094,,,,False,,0.0,0,1.55822,3.11332,11.926,,,,,,,
20260526-184725-sentence-script-a-school-of-small-fish-s-be46e0,0.0167,1,prey,45,prey,1,True,HUNT,0.0167,False,False,bounce,False,1.0,45,1,1,2,45,11.45422,6.11511,0.94094,1.24713,0.05372,-1.77763,2.17214,,,,False,,0.0,0,1.83019,3.26154,10.85894,,,,,,,
20260526-184725-sentence-script-a-school-of-small-fish-s-be46e0,0.0167,1,coral,0,coral_obstacle,1,True,HUNT,0.0167,False,False,bounce,False,1.0,45,1,1,2,45,-11.23114,-6.48718,2.98539,,,,,,,,,,,,,,,,1.7678,4.83234,,,,
20260526-184725-sentence-script-a-school-of-small-fish-s-be46e0,0.0167,1,coral,1,coral_obstacle,1,True,HUNT,0.0167,False,False,bounce,False,1.0,45,1,1,2,45,4.96017,-7.60375,-2.17533,,,,,,,,,,,,,,,,1.44689,2.6851,,,,
20260526-184725-sentence-script-a-school-of-small-fish-s-be46e0,0.0167,1,coral,2,coral_obstacle,1,True,HUNT,0.0167,False,False,bounce,False,1.0,45,1,1,2,45,2.74788,-7.50996,-7.1049,,,,,,,,,,,,,,,,1.53072,2.86546,,,,
20260526-184725-sentence-script-a-school-of-small-fish-s-be46e0,0.0167,1,coral,3,coral_obstacle,1,True,HUNT,0.0167,False,False,bounce,False,1.0,45,1,1,2,45,0.76839,-6.75918,5.3047,,,,,,,,,,,,,,,,1.70564,4.30927,,,,
20260526-184725-sentence-script-a-school-of-small-fish-s-be46e0,0.0167,1,coral,4,coral_obstacle,1,True,HUNT,0.0167,False,False,bounce,False,1.0,45,1,1,2,45,-5.53922,-7.51769,4.24326,,,,,,,,,,,,,,,,1.32592,2.85059,,,,
20260526-184725-sentence-script-a-school-of-small-fish-s-be46e0,0.0167,1,coral,5,coral_obstacle,1,True,HUNT,0.0167,False,False,bounce,False,1.0,45,1,1,2,45,-10.75876,-7.57273,-6.21749,,,,,,,,,,,,,,,,1.24132,2.74475,,,,
20260526-184725-sentence-script-a-school-of-small-fish-s-be46e0,0.0167,1,coral,6,coral_obstacle,1,True,HUNT,0.0167,False,False,bounce,False,1.0,45,1,1,2,45,-4.93775,-6.91645,-7.32105,,,,,,,,,,,,,,,,1.62437,4.00682,,,,
20260526-184725-sentence-script-a-school-of-small-fish-s-be46e0,0.0167,1,coral,7,coral_obstacle,1,True,HUNT,0.0167,False,False,bounce,False,1.0,45,1,1,2,45,6.03528,-7.68263,6.71514,,,,,,,,,,,,,,,,1.15339,2.5334,,,,
20260526-184725-sentence-script-a-school-of-small-fish-s-be46e0,0.0167,1,coral,8,coral_obstacle,1,True,HUNT,0.0167,False,False,bounce,False,1.0,45,1,1,2,45,-2.04332,-7.0217,-2.75367,,,,,,,,,,,,,,,,1.03257,3.80443,,,,
20260526-184725-sentence-script-a-school-of-small-fish-s-be46e0,0.0167,1,coral,9,coral_obstacle,1,True,HUNT,0.0167,False,False,bounce,False,1.0,45,1,1,2,45,7.85152,-7.35204,-7.31784,,,,,,,,,,,,,,,,1.68261,3.16915,,,,
20260526-184725-sentence-script-a-school-of-small-fish-s-be46e0,0.0167,1,danger_mark,0,mark,1,True,HUNT,0.0167,False,False,bounce,False,1.0,45,1,1,2,45,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,1.0,3.98333,,
20260526-184725-sentence-script-a-school-of-small-fish-s-be46e0,0.0167,1,danger_mark,1,mark,1,True,HUNT,0.0167,False,False,bounce,False,1.0,45,1,1,2,45,-4.07975,3.08161,-2.35387,,,,,,,,,,,,,,,,,,1.25,7.98333,,
20260526-184725-sentence-script-a-school-of-small-fish-s-be46e0,0.0167,1,particle,0,visual_particle,1,True,HUNT,0.0167,False,False,bounce,False,1.0,45,1,1,2,45,-0.00467,0.99517,-0.01257,-0.27297,-0.28227,-0.73525,0.83353,,,,,,,,,,,,,,,,0.83178,
20260526-184725-sentence-script-a-school-of-small-fish-s-be46e0,0.0167,1,particle,1,visual_particle,1,True,HUNT,0.0167,False,False,bounce,False,1.0,45,1,1,2,45,-0.01995,1.00535,-0.02376,-1.1669,0.31306,-1.39012,1.84176,,,,,,,,,,,,,,,,0.92519,
20260526-184725-sentence-script-a-school-of-small-fish-s-be46e0,0.0167,1,particle,2,visual_particle,1,True,HUNT,0.0167,False,False,bounce,False,1.0,45,1,1,2,45,-0.04336,0.98317,-0.00691,-2.53651,-0.9844,-0.40405,2.75067,,,,,,,,,,,,,,,,1.15978,
20260526-184725-sentence-script-a-school-of-small-fish-s-be46e0,0.0167,1,particle,3,visual_particle,1,True,HUNT,0.0167,False,False,bounce,False,1.0,45,1,1,2,45,-0.00389,0.99983,0.00665,-0.22767,-0.00979,0.38888,0.45073,,,,,,,,,,,,,,,,0.70665,
20260526-184725-sentence-script-a-school-of-small-fish-s-be46e0,0.0167,1,particle,4,visual_particle,1,True,HUNT,0.0167,False,False,bounce,False,1.0,45,1,1,2,45,0.03842,1.01909,0.00119,2.24729,1.11652,0.06946,2.51033,,,,,,,,,,,,,,,,1.55973,
20260526-184725-sentence-script-a-school-of-small-fish-s-be46e0,0.0167,1,particle,5,visual_particle,1,True,HUNT,0.0167,False,False,bounce,False,1.0,45,1,1,2,45,0.02773,0.99079,0.02375,1.62229,-0.53871,1.38961,2.20297,,,,,,,,,,,,,,,,0.71161,
20260526-184725-sentence-script-a-school-of-small-fish-s-be46e0,0.0167,1,particle,6,visual_particle,1,True,HUNT,0.0167,False,False,bounce,False,1.0,45,1,1,2,45,-0.00722,1.0029,-0.0013,-0.42225,0.16974,-0.07607,0.4614,,,,,,,,,,,,,,,,1.36647,
20260526-184725-sentence-script-a-school-of-small-fish-s-be46e0,0.0167,1,particle,7,visual_particle,1,True,HUNT,0.0167,False,False,bounce,False,1.0,45,1,1,2,45,0.0061,0.9644,-0.02116,0.35663,-2.08256,-1.23759,2.44865,,,,,,,,,,,,,,,,0.72272,
20260526-184725-sentence-script-a-school-of-small-fish-s-be46e0,0.0167,1,particle,8,visual_particle,1,True,HUNT,0.0167,False,False,bounce,False,1.0,45,1,1,2,45,0.01083,0.99945,0.00238,0.63353,-0.03233,0.13924,0.64946,,,,,,,,,,,,,,,,1.67124,
20260526-184725-sentence-script-a-school-of-small-fish-s-be46e0,0.0167,1,particle,9,visual_particle,1,True,HUNT,0.0167,False,False,bounce,False,1.0,45,1,1,2,45,-0.00023,1.00465,0.00141,-0.01358,0.27204,0.08238,0.28456,,,,,,,,,,,,,,,,1.59255,
20260526-184725-sentence-script-a-school-of-small-fish-s-be46e0,0.0167,1,particle,10,visual_particle,1,True,HUNT,0.0167,False,False,bounce,False,1.0,45,1,1,2,45,0.00379,1.01882,-0.03604,0.222,1.10087,-2.1086,2.38902,,,,,,,,,,,,,,,,1.13904,
20260526-184725-sentence-script-a-school-of-small-fish-s-be46e0,0.0167,1,particle,11,visual_particle,1,True,HUNT,0.0167,False,False,bounce,False,1.0,45,1,1,2,45,-0.01866,0.96147,0.00628,-1.0914,-2.25402,0.36752,2.53118,,,,,,,,,,,,,,,,1.07508,
