run_id,sim_time,frame,row_type,entity_id,entity_kind,round_number,ai_enabled,ai_mode,human_override_timer,selected_index,paused,mitochondria_count,fuel_count,waste_count,particle_count,total_atp,avg_activity,close_pairs,x,y,z,vx,vy,vz,axis_x,axis_y,axis_z,length,radius,activity,atp,marked,wrapped,orbiting,dipping,organize_target_x,organize_target_y,organize_target_z,particle_kind,particle_age,particle_max_age,attached,target_mito_id,source_mito_id,cell_radius,nucleus_x,nucleus_y,nucleus_z,nucleus_radius
20260525-202225-sentence-script-multiple-elongated-mitoc-bf56f4,0.0,0,particle,7,fuel,1,True,NOURISH,0.0,0,False,6,32,0,32,35.19052,0.54516,0,2.49592,5.83833,1.62735,-0.21945,-0.46911,-0.19875,,,,,0.04804,,,,,,,,,,fuel,0.0,16.99327,False,,,7.0,-2.15,1.75,-0.45,1.55
20260525-202225-sentence-script-multiple-elongated-mitoc-bf56f4,0.0,0,particle,8,fuel,1,True,NOURISH,0.0,0,False,6,32,0,32,35.19052,0.54516,0,4.31633,-2.61846,4.15362,-0.22766,0.21066,-0.31534,,,,,0.05893,,,,,,,,,,fuel,0.0,18.75819,False,,,7.0,-2.15,1.75,-0.45,1.55
20260525-202225-sentence-script-multiple-elongated-mitoc-bf56f4,0.0,0,particle,9,fuel,1,True,NOURISH,0.0,0,False,6,32,0,32,35.19052,0.54516,0,0.35648,6.10165,2.05397,0.03416,-0.26851,-0.13526,,,,,0.05988,,,,,,,,,,fuel,0.0,18.04553,False,,,7.0,-2.15,1.75,-0.45,1.55
20260525-202225-sentence-script-multiple-elongated-mitoc-bf56f4,0.0,0,particle,10,fuel,1,True,NOURISH,0.0,0,False,6,32,0,32,35.19052,0.54516,0,-5.86656,0.90322,-2.9261,0.46961,-0.0458,0.19407,,,,,0.07373,,,,,,,,,,fuel,0.0,12.33521,False,,,7.0,-2.15,1.75,-0.45,1.55
20260525-202225-sentence-script-multiple-elongated-mitoc-bf56f4,0.0,0,particle,11,fuel,1,True,NOURISH,0.0,0,False,6,32,0,32,35.19052,0.54516,0,-3.29743,-3.84093,4.219,0.20469,0.12633,-0.20016,,,,,0.07327,,,,,,,,,,fuel,0.0,18.79981,False,,,7.0,-2.15,1.75,-0.45,1.55
20260525-202225-sentence-script-multiple-elongated-mitoc-bf56f4,0.0,0,particle,12,fuel,1,True,NOURISH,0.0,0,False,6,32,0,32,35.19052,0.54516,0,0.91557,-6.08491,2.55254,-0.00353,0.39457,-0.21551,,,,,0.0451,,,,,,,,,,fuel,0.0,16.89016,False,,,7.0,-2.15,1.75,-0.45,1.55
20260525-202225-sentence-script-multiple-elongated-mitoc-bf56f4,0.0,0,particle,13,fuel,1,True,NOURISH,0.0,0,False,6,32,0,32,35.19052,0.54516,0,-1.05787,5.28431,3.74455,0.10104,-0.30691,-0.14457,,,,,0.06732,,,,,,,,,,fuel,0.0,18.23663,False,,,7.0,-2.15,1.75,-0.45,1.55
20260525-202225-sentence-script-multiple-elongated-mitoc-bf56f4,0.0,0,particle,14,fuel,1,True,NOURISH,0.0,0,False,6,32,0,32,35.19052,0.54516,0,-1.30609,-6.43471,-1.13466,0.02204,0.29766,-0.01478,,,,,0.07063,,,,,,,,,,fuel,0.0,17.49432,False,,,7.0,-2.15,1.75,-0.45,1.55
20260525-202225-sentence-script-multiple-elongated-mitoc-bf56f4,0.0,0,particle,15,fuel,1,True,NOURISH,0.0,0,False,6,32,0,32,35.19052,0.54516,0,-6.12725,-2.56675,0.61674,0.33606,0.13829,0.04316,,,,,0.05605,,,,,,,,,,fuel,0.0,19.53504,False,,,7.0,-2.15,1.75,-0.45,1.55
20260525-202225-sentence-script-multiple-elongated-mitoc-bf56f4,0.0,0,particle,16,fuel,1,True,NOURISH,0.0,0,False,6,32,0,32,35.19052,0.54516,0,3.4149,-3.00571,-4.90669,-0.34813,0.23619,0.42567,,,,,0.04578,,,,,,,,,,fuel,0.0,13.11209,False,,,7.0,-2.15,1.75,-0.45,1.55
20260525-202225-sentence-script-multiple-elongated-mitoc-bf56f4,0.0,0,particle,17,fuel,1,True,NOURISH,0.0,0,False,6,32,0,32,35.19052,0.54516,0,-2.31985,-1.85073,-6.22788,0.06809,0.13022,0.40115,,,,,0.06794,,,,,,,,,,fuel,0.0,15.59514,False,,,7.0,-2.15,1.75,-0.45,1.55
