run_id,time_seconds,frame,row_type,object_id,parent_id,state,mode,round_index,selected_index,ai_enabled,ai_mode,ai_override_timer,ai_mode_timer,ai_stagnant_timer,ai_completion_timer,fusion_count,active_count,attached_count,detached_count,fused_count,track_count,vesicle_count,particle_count,fusion_effect_count,x,y,z,vx,vy,vz,radius,color_r,color_g,color_b,opacity,track_index,track_s,direction,speed_multiplier,intent,orbiting,cargo_r,cargo_g,cargo_b,age,lifetime,extra
20260525-200937-sentence-script-long-microtubule-tracks-9988d9,0.0010,1,track,10,,microtubule,,1,0,1,CURIOUS_SWITCH,0.0000,0.0010,0.0000,0.0000,0,22,22,0,0,30,22,12,0,0.12691923211188666,0.09775862068965517,-0.27121902698923095,3.142761938008622,2.420689655172414,-6.715899715923813,0.045,0.16,0.62,0.78,0.82,10,7.8,,,,,,,,,,axis stored in vx/vy/vz
20260525-200937-sentence-script-long-microtubule-tracks-9988d9,0.0010,1,track,11,,microtubule,,1,0,1,CURIOUS_SWITCH,0.0000,0.0010,0.0000,0.0000,0,22,22,0,0,30,22,12,0,0.0914868026178049,0.07603448275862071,0.2916743430238591,2.265387493393264,1.8827586206896554,7.22241230344794,0.045,0.25,0.77,0.82,0.82,11,7.8,,,,,,,,,,axis stored in vx/vy/vz
20260525-200937-sentence-script-long-microtubule-tracks-9988d9,0.0010,1,track,12,,microtubule,,1,0,1,CURIOUS_SWITCH,0.0000,0.0010,0.0000,0.0000,0,22,22,0,0,30,22,12,0,-0.26846011558042554,0.05431034482758621,-0.15557812438531726,-6.6475838143724415,1.3448275862068966,-3.8524106990649987,0.045,0.16,0.62,0.78,0.82,12,7.8,,,,,,,,,,axis stored in vx/vy/vz
20260525-200937-sentence-script-long-microtubule-tracks-9988d9,0.0010,1,track,13,,microtubule,,1,0,1,CURIOUS_SWITCH,0.0000,0.0010,0.0000,0.0000,0,22,22,0,0,30,22,12,0,0.3060022601698627,0.03258620689655172,-0.06727373849453273,7.5771988232537435,0.8068965517241379,-1.6658259055789055,0.045,0.25,0.77,0.82,0.82,13,7.8,,,,,,,,,,axis stored in vx/vy/vz
20260525-200937-sentence-script-long-microtubule-tracks-9988d9,0.0010,1,track,14,,microtubule,,1,0,1,CURIOUS_SWITCH,0.0000,0.0010,0.0000,0.0000,0,22,22,0,0,30,22,12,0,-0.18105802959846345,0.010862068965517228,0.2575364156303149,-4.483341685295285,0.26896551724137896,6.377092196560177,0.045,0.16,0.62,0.78,0.82,14,7.8,,,,,,,,,,axis stored in vx/vy/vz
20260525-200937-sentence-script-long-microtubule-tracks-9988d9,0.0010,1,track,15,,microtubule,,1,0,1,CURIOUS_SWITCH,0.0000,0.0010,0.0000,0.0000,0,22,22,0,0,30,22,12,0,-0.04045679302509083,-0.010862068965517266,-0.3122022795495147,-1.0017872558593919,-0.2689655172413799,-7.730723112654649,0.045,0.25,0.77,0.82,0.82,15,7.8,,,,,,,,,,axis stored in vx/vy/vz
20260525-200937-sentence-script-long-microtubule-tracks-9988d9,0.0010,1,track,16,,microtubule,,1,0,1,CURIOUS_SWITCH,0.0000,0.0010,0.0000,0.0000,0,22,22,0,0,30,22,12,0,0.2395721560461711,-0.03258620689655172,0.2019116667443567,5.932262911619475,-0.8068965517241378,4.999717462241214,0.045,0.16,0.62,0.78,0.82,16,7.8,,,,,,,,,,axis stored in vx/vy/vz
20260525-200937-sentence-script-long-microtubule-tracks-9988d9,0.0010,1,track,17,,microtubule,,1,0,1,CURIOUS_SWITCH,0.0000,0.0010,0.0000,0.0000,0,22,22,0,0,30,22,12,0,-0.3100177876995194,-0.05431034482758618,0.012820208836225042,-7.676630933511908,-1.3448275862068957,0.31745279023033435,0.045,0.25,0.77,0.82,0.82,17,7.8,,,,,,,,,,axis stored in vx/vy/vz
20260525-200937-sentence-script-long-microtubule-tracks-9988d9,0.0010,1,track,18,,microtubule,,1,0,1,CURIOUS_SWITCH,0.0000,0.0010,0.0000,0.0000,0,22,22,0,0,30,22,12,0,0.21667902757255286,-0.07603448275862071,-0.21562457290819595,5.36538544465369,-1.8827586206896554,-5.339275138679137,0.045,0.16,0.62,0.78,0.82,18,7.8,,,,,,,,,,axis stored in vx/vy/vz
20260525-200937-sentence-script-long-microtubule-tracks-9988d9,0.0010,1,track,19,,microtubule,,1,0,1,CURIOUS_SWITCH,0.0000,0.0010,0.0000,0.0000,0,22,22,0,0,30,22,12,0,-0.01383187034296724,-0.09775862068965517,0.2991269487085232,-0.3425034561115697,-2.420689655172414,7.406953015639622,0.045,0.25,0.77,0.82,0.82,19,7.8,,,,,,,,,,axis stored in vx/vy/vz
