csv_run_id,csv_elapsed_seconds,simulation_time,frame,row_type,object_id,object_kind,round_index,paused,help_visible,ai_enabled,ai_mode,ai_last_mode,ai_mode_timer,ai_override_until,ai_stagnant_time,ai_completion_active,ai_loop_rounds,active_organelle_count,free_organelle_count,marked_organelle_count,wrapped_organelle_count,dissolving_organelle_count,recycled_organelle_count,particle_count,enzyme_particle_count,recycle_particle_count,autophagosome_state,autophagosome_active,autophagosome_target_id,autophagosome_radius,autophagosome_closure,autophagosome_fuse_timer,lysosome_orbit_mode,name,kind,state,id,target_id,x,y,z,vx,vy,vz,radius,damage,age,mark_strength,dissolve_amount,opacity,life,captured,center_x,center_y,center_z,lysosome_x,lysosome_y,lysosome_z,distance_to_lysosome
20260526-205752-sentence-script-damaged-organelles-marke-cd06f6,0.0167,0.0167,1,particle,particle_1,recycle_particle,0,False,True,True,SURVEY,,0.9833333333333333,0,0,False,True,6,6,0,0,0,0,10,10,0,idle,False,,0.35,0.0,0.0,False,,enzyme,captured,,,4.177804625729568,-1.1336406252679874,0.6170557892028845,-0.3943468953290128,0.4496490990393589,0.4276815018800572,0.05076708392981795,,0.016666666666666666,,,0.9,7.343623565376173,True,,,,4.8,-1.1,1.2,0.8532776384822328
20260526-205752-sentence-script-damaged-organelles-marke-cd06f6,0.0167,0.0167,1,particle,particle_2,recycle_particle,0,False,True,True,SURVEY,,0.9833333333333333,0,0,False,True,6,6,0,0,0,0,10,10,0,idle,False,,0.35,0.0,0.0,False,,enzyme,captured,,,4.403589414068735,-0.6570765979036621,1.1847837647837909,-0.29403423081876734,-0.41205866243915246,-0.053980224740781305,0.0669957150219131,,0.016666666666666666,,,0.9,11.434601476916438,True,,,,4.8,-1.1,1.2,0.5946040922976548
20260526-205752-sentence-script-damaged-organelles-marke-cd06f6,0.0167,0.0167,1,particle,particle_3,recycle_particle,0,False,True,True,SURVEY,,0.9833333333333333,0,0,False,True,6,6,0,0,0,0,10,10,0,idle,False,,0.35,0.0,0.0,False,,enzyme,captured,,,5.487374931936575,-1.0538099158372638,1.0915799696642112,0.31413577535308845,-0.6559634004474354,0.221303384432594,0.06110865382494113,,0.016666666666666666,,,0.9,14.43421303773185,True,,,,4.8,-1.1,1.2,0.6974042758026261
20260526-205752-sentence-script-damaged-organelles-marke-cd06f6,0.0167,0.0167,1,particle,particle_4,recycle_particle,0,False,True,True,SURVEY,,0.9833333333333333,0,0,False,True,6,6,0,0,0,0,10,10,0,idle,False,,0.35,0.0,0.0,False,,enzyme,captured,,,4.362260615997879,-0.7966706673083324,1.9764621545168104,0.35392237446719466,0.5144481046318183,-0.39717722826814106,0.059349429156076314,,0.016666666666666666,,,0.9,7.945033784718486,True,,,,4.8,-1.1,1.2,0.9415508110424076
20260526-205752-sentence-script-damaged-organelles-marke-cd06f6,0.0167,0.0167,1,particle,particle_5,recycle_particle,0,False,True,True,SURVEY,,0.9833333333333333,0,0,False,True,6,6,0,0,0,0,10,10,0,idle,False,,0.35,0.0,0.0,False,,enzyme,captured,,,5.249398774324976,-1.1056848179034933,1.2701959030083418,0.36256521180316187,-0.4372592045626194,-0.19337098258515598,0.049320332139971064,,0.016666666666666666,,,0.9,11.691121923423363,True,,,,4.8,-1.1,1.2,0.4548835458867942
20260526-205752-sentence-script-damaged-organelles-marke-cd06f6,0.0167,0.0167,1,particle,particle_6,recycle_particle,0,False,True,True,SURVEY,,0.9833333333333333,0,0,False,True,6,6,0,0,0,0,10,10,0,idle,False,,0.35,0.0,0.0,False,,enzyme,captured,,,5.328343224142504,-0.4362764866118443,0.5430779456032666,-0.524177897749712,-0.2575682984714967,0.31117962439710045,0.05440094450337874,,0.016666666666666666,,,0.9,9.419775128587656,True,,,,4.8,-1.1,1.2,1.072950162064594
20260526-205752-sentence-script-damaged-organelles-marke-cd06f6,0.0167,0.0167,1,particle,particle_7,recycle_particle,0,False,True,True,SURVEY,,0.9833333333333333,0,0,False,True,6,6,0,0,0,0,10,10,0,idle,False,,0.35,0.0,0.0,False,,enzyme,captured,,,4.09604328812159,-0.7063252651318973,1.7923091250173258,0.5001337946692641,-0.34904480680809485,-0.4594694068055088,0.07198701735199146,,0.016666666666666666,,,0.9,9.125325497731147,True,,,,4.8,-1.1,1.2,1.0006822415986627
20260526-205752-sentence-script-damaged-organelles-marke-cd06f6,0.0167,0.0167,1,particle,particle_8,recycle_particle,0,False,True,True,SURVEY,,0.9833333333333333,0,0,False,True,6,6,0,0,0,0,10,10,0,idle,False,,0.35,0.0,0.0,False,,enzyme,captured,,,4.577651004573426,-1.7237574981031776,0.5837532200205036,0.5020785274666157,-0.3050681050845982,-0.2625289235790296,0.058918812365311275,,0.016666666666666666,,,0.9,11.308354140779677,True,,,,4.8,-1.1,1.2,0.9045842061644895
20260526-205752-sentence-script-damaged-organelles-marke-cd06f6,0.0167,0.0167,1,particle,particle_9,recycle_particle,0,False,True,True,SURVEY,,0.9833333333333333,0,0,False,True,6,6,0,0,0,0,10,10,0,idle,False,,0.35,0.0,0.0,False,,enzyme,captured,,,4.3228524618550175,-1.4627797835714138,1.0227217823131771,0.366074368850325,0.11110035092349076,-0.31196663842071176,0.04951226334351612,,0.016666666666666666,,,0.9,13.286498221397334,True,,,,4.8,-1.1,1.2,0.62506520539233
20260526-205752-sentence-script-damaged-organelles-marke-cd06f6,0.1333,0.1333,8,summary,autophagy,summary,0,False,True,True,SURVEY,,0.8666666666666663,0,0,False,True,6,6,0,0,0,0,10,10,0,idle,False,,0.35,0.0,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,
