csv_run_id,csv_elapsed_seconds,simulation_time,frame,row_type,object_id,object_kind,round_number,round_goal,spawned_this_round,completed_products,active_count,raw_count,blueprint_count,protein_count,product_count,avg_speed,avg_energy_charge,ai_enabled,ai_mode,ai_stagnant_time,ai_completion_time,paused,drone_x,drone_y,drone_z,drone_vx,drone_vy,drone_vz,drone_target_x,drone_target_y,drone_target_z,attached_count,particle_count,effect_count,station_count,energy_stream_count,particle_id,kind,alive,attached,marked,age,processing_cooldown,x,y,z,vx,vy,vz,target_x,target_y,target_z,radius,last_speed,station_name,station_type,station_charge,station_touch_count,station_last_touched,effect_type
20260526-210653-sentence-script-a-stylized-cell-shows-mi-f8c03f,0.001,0.001,1,station,station_3,station,1,12,5,0,5,5,0,0,0,1.0584388604288397,0.0,True,FEED,0.001,0.0,False,-4.4000099200000005,0.0,0.0,-0.00992,0.0,0.0,-7.52,0.0,0.0,0,5,0,18,12,,,,,,,,0.35,3.15,-2.15,,,,,,,1.05,,Mitochondrion power station,mitochondrion,0,0,0.0,
20260526-210653-sentence-script-a-stylized-cell-shows-mi-f8c03f,0.001,0.001,1,station,station_4,station,1,12,5,0,5,5,0,0,0,1.0584388604288397,0.0,True,FEED,0.001,0.0,False,-4.4000099200000005,0.0,0.0,-0.00992,0.0,0.0,-7.52,0.0,0.0,0,5,0,18,12,,,,,,,,1.1344227172674914,0.45048706803270894,0.0,,,,,,,0.45,,Ribosome,ribosome,0,0,0.0,
20260526-210653-sentence-script-a-stylized-cell-shows-mi-f8c03f,0.001,0.001,1,station,station_5,station,1,12,5,0,5,5,0,0,0,1.0584388604288397,0.0,True,FEED,0.001,0.0,False,-4.4000099200000005,0.0,0.0,-0.00992,0.0,0.0,-7.52,0.0,0.0,0,5,0,18,12,,,,,,,,0.7696847360947783,0.43448015707305215,1.3338098710018733,,,,,,,0.45,,Ribosome,ribosome,0,0,0.0,
20260526-210653-sentence-script-a-stylized-cell-shows-mi-f8c03f,0.001,0.001,1,station,station_6,station,1,12,5,0,5,5,0,0,0,1.0584388604288397,0.0,True,FEED,0.001,0.0,False,-4.4000099200000005,0.0,0.0,-0.00992,0.0,0.0,-7.52,0.0,0.0,0,5,0,18,12,,,,,,,,-0.5025351295060929,0.6017619197214069,1.8777615546425768,,,,,,,0.45,,Ribosome,ribosome,0,0,0.0,
20260526-210653-sentence-script-a-stylized-cell-shows-mi-f8c03f,0.001,0.001,1,station,station_7,station,1,12,5,0,5,5,0,0,0,1.0584388604288397,0.0,True,FEED,0.001,0.0,False,-4.4000099200000005,0.0,0.0,-0.00992,0.0,0.0,-7.52,0.0,0.0,0,5,0,18,12,,,,,,,,-1.3675463992868508,0.014410685380770796,2.770960275657472,,,,,,,0.45,,Ribosome,ribosome,0,0,0.0,
20260526-210653-sentence-script-a-stylized-cell-shows-mi-f8c03f,0.001,0.001,1,station,station_8,station,1,12,5,0,5,5,0,0,0,1.0584388604288397,0.0,True,FEED,0.001,0.0,False,-4.4000099200000005,0.0,0.0,-0.00992,0.0,0.0,-7.52,0.0,0.0,0,5,0,18,12,,,,,,,,-2.6486439647684663,-0.19304001464745996,2.841894895359424,,,,,,,0.45,,Ribosome,ribosome,0,0,0.0,
20260526-210653-sentence-script-a-stylized-cell-shows-mi-f8c03f,0.001,0.001,1,station,station_9,station,1,12,5,0,5,5,0,0,0,1.0584388604288397,0.0,True,FEED,0.001,0.0,False,-4.4000099200000005,0.0,0.0,-0.00992,0.0,0.0,-7.52,0.0,0.0,0,5,0,18,12,,,,,,,,-3.7891683082739673,-0.39425809538907847,2.2435460959786333,,,,,,,0.45,,Ribosome,ribosome,0,0,0.0,
20260526-210653-sentence-script-a-stylized-cell-shows-mi-f8c03f,0.001,0.001,1,station,station_10,station,1,12,5,0,5,5,0,0,0,1.0584388604288397,0.0,True,FEED,0.001,0.0,False,-4.4000099200000005,0.0,0.0,-0.00992,0.0,0.0,-7.52,0.0,0.0,0,5,0,18,12,,,,,,,,-4.3790757577500505,0.2129315468207253,1.1457025011527133,,,,,,,0.45,,Ribosome,ribosome,0,0,0.0,
20260526-210653-sentence-script-a-stylized-cell-shows-mi-f8c03f,0.001,0.001,1,station,station_11,station,1,12,5,0,5,5,0,0,0,1.0584388604288397,0.0,True,FEED,0.001,0.0,False,-4.4000099200000005,0.0,0.0,-0.00992,0.0,0.0,-7.52,0.0,0.0,0,5,0,18,12,,,,,,,,-4.964746939854756,-0.5257941379860347,3.6307678501750375e-16,,,,,,,0.45,,Ribosome,ribosome,0,0,0.0,
20260526-210653-sentence-script-a-stylized-cell-shows-mi-f8c03f,0.001,0.001,1,station,station_12,station,1,12,5,0,5,5,0,0,0,1.0584388604288397,0.0,True,FEED,0.001,0.0,False,-4.4000099200000005,0.0,0.0,-0.00992,0.0,0.0,-7.52,0.0,0.0,0,5,0,18,12,,,,,,,,-4.525451655087275,0.3081660470023842,-1.2161934181154965,,,,,,,0.45,,Ribosome,ribosome,0,0,0.0,
20260526-210653-sentence-script-a-stylized-cell-shows-mi-f8c03f,0.001,0.001,1,station,station_13,station,1,12,5,0,5,5,0,0,0,1.0584388604288397,0.0,True,FEED,0.001,0.0,False,-4.4000099200000005,0.0,0.0,-0.00992,0.0,0.0,-7.52,0.0,0.0,0,5,0,18,12,,,,,,,,-3.669884997967544,0.5886706908811489,-2.093969555909264,,,,,,,0.45,,Ribosome,ribosome,0,0,0.0,
20260526-210653-sentence-script-a-stylized-cell-shows-mi-f8c03f,0.001,0.001,1,station,station_14,station,1,12,5,0,5,5,0,0,0,1.0584388604288397,0.0,True,FEED,0.001,0.0,False,-4.4000099200000005,0.0,0.0,-0.00992,0.0,0.0,-7.52,0.0,0.0,0,5,0,18,12,,,,,,,,-2.5874443779985876,-0.37283769693435975,-2.5737619862657466,,,,,,,0.45,,Ribosome,ribosome,0,0,0.0,
