run_id,frame,elapsed_seconds,ai_enabled,ai_mode,ai_round,paused,selected_alveolus,probe_x,probe_y,probe_z,probe_vx,probe_vy,probe_vz,breathing_phase,breathing_rate,breathing_amplitude,blood_flow_speed,membrane_permeability,avg_capillary_saturation,avg_carrier_saturation,air_o2_count,air_co2_count,blood_o2_count,blood_co2_count,o2_to_blood_transfers,co2_to_air_transfers,attach_count,detach_count,collision_count,spill_count,mark_count,reset_count,tissue_exchange_count,exhaled_count,stagnation_timer,completion_timer,alveolus_1_radius,alveolus_2_radius,alveolus_3_radius,alveolus_4_radius,alveolus_5_radius,path_1_saturation,path_2_saturation,path_3_saturation,path_4_saturation,path_5_saturation
20260527-223837-sentence-script-a-cluster-of-semi-transp-5ee96f,241,3.0886,1,careful_breath,1,0,4,0.63023,-0.83999,1.4976,0.0,0.0,0.0,14.41811,0.7271,0.105,1.0,1.13935,0.31791,0.29675,82,57,11,15,1,35,1,35,269,0,1,0,0,3,1.27519,0.0,0.94651,0.98767,1.11334,0.96301,1.03739,0.34615,0.28294,0.33384,0.34439,0.28224
20260527-223837-sentence-script-a-cluster-of-semi-transp-5ee96f,257,3.3533,1,careful_breath,1,0,4,0.63023,-0.83999,1.4976,0.0,0.0,0.0,15.62737,0.7271,0.105,1.0,1.13935,0.31613,0.29381,82,60,11,12,1,38,1,38,270,0,1,0,0,3,1.27519,0.0,0.86704,0.90475,1.01986,0.88216,0.95029,0.34103,0.28491,0.32926,0.34098,0.28447
20260527-223837-sentence-script-a-cluster-of-semi-transp-5ee96f,274,3.6142,1,careful_breath,1,0,4,0.63023,-0.83999,1.4976,0.0,0.0,0.0,16.81934,0.7271,0.105,1.0,1.13935,0.30894,0.28913,89,53,11,12,1,38,1,38,367,0,1,0,0,10,1.27519,0.0,0.77886,0.81273,0.91614,0.79244,0.85364,0.33701,0.27911,0.31975,0.33096,0.27788
20260527-223837-sentence-script-a-cluster-of-semi-transp-5ee96f,291,3.8741,1,careful_breath,1,0,4,0.63023,-0.83999,1.4976,0.0,0.0,0.0,18.00692,0.7271,0.105,1.0,1.13935,0.3036,0.28913,89,53,11,12,1,38,1,38,446,0,1,0,0,10,1.27519,0.0,0.79239,0.82685,0.93205,0.80621,0.86847,0.33405,0.27485,0.31245,0.32359,0.27305
20260527-223837-sentence-script-a-cluster-of-semi-transp-5ee96f,307,4.1306,1,careful_breath,1,0,4,0.63023,-0.83999,1.4976,0.0,0.0,0.0,19.17891,0.7271,0.105,1.0,1.13935,0.30124,0.28913,89,54,11,11,1,39,1,39,446,0,1,0,0,10,1.27519,0.0,0.88897,0.92763,1.04566,0.90447,0.97433,0.33199,0.27188,0.30736,0.31845,0.27653
20260527-223837-sentence-script-a-cluster-of-semi-transp-5ee96f,322,4.3873,1,careful_breath,1,0,4,0.63023,-0.83999,1.4976,0.0,0.0,0.0,20.35145,0.7271,0.105,1.0,1.13935,0.29953,0.28677,89,55,11,10,1,40,1,40,446,0,1,0,0,10,1.27519,0.0,0.94984,0.99114,1.11725,0.9664,1.04104,0.33803,0.26978,0.30375,0.31482,0.27128
20260527-223837-sentence-script-a-cluster-of-semi-transp-5ee96f,337,4.6449,1,careful_breath,1,0,4,0.63023,-0.83999,1.4976,0.0,0.0,0.0,21.52836,0.7271,0.105,1.0,1.13935,0.301,0.28677,89,58,11,7,1,43,1,43,446,0,1,0,0,10,1.27519,0.0,0.90008,0.93922,1.05872,0.91577,0.9865,0.33512,0.27528,0.30865,0.31205,0.27392
20260527-223837-sentence-script-a-cluster-of-semi-transp-5ee96f,352,4.9045,1,careful_breath,1,0,4,0.63023,-0.83999,1.4976,0.0,0.0,0.0,22.71415,0.7271,0.105,1.0,1.13935,0.29695,0.28191,93,54,11,7,1,43,1,43,508,0,1,0,0,14,1.27519,0.0,0.80004,0.83484,0.94105,0.81399,0.87686,0.33291,0.27236,0.30474,0.30703,0.2677
20260527-223837-sentence-script-a-cluster-of-semi-transp-5ee96f,367,5.1668,1,careful_breath,1,0,4,0.63023,-0.83999,1.4976,0.0,0.0,0.0,23.91281,0.7271,0.105,1.0,1.13935,0.29328,0.28191,93,54,11,7,1,43,1,43,720,0,1,0,0,14,1.27519,0.0,0.775,0.8087,0.91159,0.78851,0.84941,0.33122,0.27014,0.30176,0.30031,0.26297
20260527-223837-sentence-script-a-cluster-of-semi-transp-5ee96f,383,5.4174,1,careful_breath,1,0,4,0.63023,-0.83999,1.4976,0.0,0.0,0.0,25.05761,0.7271,0.105,1.0,1.13935,0.29214,0.28191,93,55,11,6,1,44,1,44,720,0,1,0,0,14,1.27519,0.0,0.853,0.89009,1.00334,0.86787,0.9349,0.32988,0.26836,0.30836,0.29491,0.25917
20260527-223837-sentence-script-a-cluster-of-semi-transp-5ee96f,400,5.6737,1,careful_breath,1,0,4,0.63023,-0.83999,1.4976,0.0,0.0,0.0,26.22846,0.7271,0.105,1.0,1.13935,0.2909,0.28191,93,56,11,5,1,45,1,45,720,0,1,0,0,14,1.27519,0.0,0.94005,0.98093,1.10574,0.95644,1.03031,0.32882,0.27474,0.30409,0.29066,0.25618
