run_id,frame,elapsed_seconds,sim_time,round_number,ai_enabled,ai_mode,paused,director_x,director_y,director_z,active_channels,molecules_free_inside,molecules_free_outside,molecules_attached,vesicles_alive,first_vesicle_state,first_vesicle_x,first_vesicle_y,first_vesicle_z,first_molecule_kind,first_molecule_inside,first_molecule_state,first_molecule_x,first_molecule_y,first_molecule_z,first_molecule_vx,first_molecule_vy,first_molecule_vz,passes,bounces,collisions,buds,fusions,transfers,marks,spills,detaches,resets,nucleus_absorbed,golgi_absorbed,lysosome_absorbed,er_absorbed
20260526-040130-sentence-script-a-transparent-spherical-2682c1,181,2.6636,3.982,1,1,constructive_delivery,0,2.8464,1.9474,3.1617,3,35,20,3,1,budding,4.889,0.3911,0.5867,waste,1,free,-0.5686,1.1071,4.0303,0.44,-0.5414,1.0732,0,20,7,2,1,2,10,0,0,1,0,2,0,0
20260526-040130-sentence-script-a-transparent-spherical-2682c1,193,2.8624,4.246,1,1,constructive_delivery,0,2.788,1.8986,3.0136,3,35,20,3,1,budding,4.7531,0.3803,0.5704,waste,1,free,-0.4477,0.9615,4.3138,0.4685,-0.5393,1.0669,0,23,8,2,1,2,12,0,0,1,0,2,0,0
20260526-040130-sentence-script-a-transparent-spherical-2682c1,205,3.0542,4.51,1,1,constructive_delivery,0,2.7402,1.8806,2.9245,3,35,20,3,1,travel,3.6593,0.2578,0.5077,waste,1,free,-0.3223,0.8217,4.5936,0.4858,-0.5029,1.081,0,23,8,2,1,2,12,0,0,1,0,2,0,0
20260526-040130-sentence-script-a-transparent-spherical-2682c1,217,3.2437,4.774,1,1,constructive_delivery,0,2.6049,1.9906,2.734,3,35,20,3,1,travel,2.3588,0.1943,0.4513,waste,1,free,-0.2032,0.6887,4.8796,0.446,-0.4902,1.0911,0,23,8,2,1,2,12,0,0,1,0,2,0,0
20260526-040130-sentence-script-a-transparent-spherical-2682c1,229,3.4332,5.038,1,1,constructive_delivery,0,2.3942,2.1095,2.4261,4,35,20,3,1,travel,1.1756,0.2377,0.4191,waste,1,free,-0.0839,0.5513,5.1753,0.442,-0.5495,1.1389,0,24,9,2,1,2,12,0,0,1,0,2,0,0
20260526-040130-sentence-script-a-transparent-spherical-2682c1,241,3.6219,5.302,1,1,constructive_delivery,0,2.2189,2.3082,2.1415,4,35,20,3,1,travel,0.0666,0.3946,0.4106,waste,1,free,0.0318,0.407,5.4762,0.4504,-0.5253,1.1296,0,24,9,2,1,2,12,0,0,1,0,2,0,0
20260526-040130-sentence-script-a-transparent-spherical-2682c1,253,3.823,5.566,1,1,constructive_delivery,0,2.0121,2.4267,1.8388,3,35,20,3,1,travel,-0.873,0.6463,0.4257,waste,1,free,0.1537,0.2678,5.7795,0.4585,-0.5427,1.152,0,24,10,2,1,2,12,0,0,1,0,2,0,0
20260526-040130-sentence-script-a-transparent-spherical-2682c1,265,4.0238,5.83,1,1,constructive_delivery,0,1.8264,2.5884,1.5513,2,35,20,3,1,travel,-1.7644,1.0292,0.4669,waste,1,free,0.2513,0.1126,5.6256,0.3403,-0.5978,-1.0981,0,26,11,2,1,2,12,0,0,1,0,2,0,0
20260526-040130-sentence-script-a-transparent-spherical-2682c1,277,4.2249,6.094,1,1,constructive_delivery,0,1.6353,2.7291,1.2627,2,35,20,3,1,travel,-2.4929,1.4939,0.5291,waste,1,free,0.3413,-0.0418,5.333,0.3606,-0.5706,-1.0881,0,27,11,2,1,2,12,0,0,1,0,2,0,0
20260526-040130-sentence-script-a-transparent-spherical-2682c1,289,4.4263,6.358,1,1,constructive_delivery,0,1.4372,2.8448,0.9719,3,35,20,3,1,fusing,-2.8597,1.8037,0.5747,waste,1,free,0.4365,-0.188,5.0455,0.3556,-0.5736,-1.0718,0,27,11,2,1,2,12,0,0,1,0,2,0,0
