run_id,frame,elapsed_seconds,round,paused,ai_enabled,ai_mode,simulation_mode_note,unfold_progress,fork_distance,left_fork_x,left_fork_y,left_fork_z,right_fork_x,right_fork_y,right_fork_z,replication_speed,unfold_speed,target_replication_speed,target_unfold_speed,chaos_level,attached_enzyme_count,active_particle_count,attachment_count,detachment_count,collision_count,transfer_count,mark_count,spill_count,enzyme0_x,enzyme0_y,enzyme0_z,enzyme0_attached,enzyme1_x,enzyme1_y,enzyme1_z,enzyme1_attached,completion_hold,ai_stagnation_seconds,active_loop_count
20260527-233410-sentence-script-a-coiled-chromosome-fibe-88d0cc,222,3.632,1,0,1,careful,careful,0.30755,1.38049,-1.38049,0.00000,0.00000,1.38049,0.00000,0.00000,0.41942,0.07500,0.44319,0.07500,0.00000,10,3,10,0,1,1,0,4,-1.41579,-0.45353,-0.28840,1,1.41579,-0.38129,0.37875,1,0.00000,0.00000,8
20260527-233410-sentence-script-a-coiled-chromosome-fibe-88d0cc,236,3.895,1,0,1,careful,careful,0.32505,1.48038,-1.48038,0.00000,0.00000,1.48038,0.00000,0.00000,0.43586,0.07500,0.46163,0.07500,0.00000,10,2,10,0,1,2,0,4,-1.51399,-0.21524,-0.49206,1,1.51399,-0.52739,0.10136,1,0.00000,0.00000,7
20260527-233410-sentence-script-a-coiled-chromosome-fibe-88d0cc,250,4.154,1,0,1,careful,careful,0.34255,1.58426,-1.58426,0.00000,0.00000,1.58426,0.00000,0.00000,0.45336,0.07500,0.48015,0.07500,0.00000,10,2,10,0,1,2,0,4,-1.61602,0.09822,-0.52768,1,1.61602,-0.49284,-0.21253,1,0.00000,0.00000,7
20260527-233410-sentence-script-a-coiled-chromosome-fibe-88d0cc,264,4.409,1,0,1,careful,careful,0.36005,1.69226,-1.69226,0.00000,0.00000,1.69226,0.00000,0.00000,0.47116,0.07500,0.49844,0.07500,0.00000,10,1,10,0,1,3,0,4,-1.72211,0.37902,-0.37963,1,1.72211,-0.28607,-0.45375,1,0.00000,0.00000,8
20260527-233410-sentence-script-a-coiled-chromosome-fibe-88d0cc,278,4.669,1,0,1,careful,human override,0.37755,1.80435,-1.80435,0.00000,0.00000,1.80435,0.00000,0.00000,0.48732,0.07500,0.50626,0.07500,0.00000,10,1,10,0,1,3,0,4,-1.83233,0.52734,-0.09672,1,1.83233,0.02297,-0.53560,1,0.00000,0.00000,8
20260527-233410-sentence-script-a-coiled-chromosome-fibe-88d0cc,289,4.922,1,0,1,careful,human override,0.39130,1.89450,-1.89450,0.00000,0.00000,1.89450,0.00000,0.00000,0.49485,0.07500,0.50626,0.07500,0.00000,10,0,10,0,1,4,0,4,-1.92141,0.51257,0.15649,1,1.92141,0.26683,-0.46471,1,0.00000,0.00000,8
20260527-233410-sentence-script-a-coiled-chromosome-fibe-88d0cc,299,5.177,1,0,1,careful,human override,0.40380,1.97738,-1.97738,0.00000,0.00000,1.97738,0.00000,0.00000,0.49906,0.07500,0.50626,0.07500,0.00000,10,0,10,0,1,4,0,4,-2.00366,0.39848,0.35814,1,2.00366,0.43808,-0.30836,1,0.00000,0.00000,8
20260527-233410-sentence-script-a-coiled-chromosome-fibe-88d0cc,310,5.434,1,0,1,careful,human override,0.41755,2.06919,-2.06919,0.00000,0.00000,2.06919,0.00000,0.00000,0.50192,0.07500,0.50626,0.07500,0.00000,10,0,10,0,1,4,0,4,-2.09502,0.18782,0.50166,1,2.09502,0.53090,-0.06996,1,0.00000,0.00000,8
20260527-233410-sentence-script-a-coiled-chromosome-fibe-88d0cc,319,5.696,1,0,1,careful,human override,0.42880,2.14461,-2.14461,0.00000,0.00000,2.14461,0.00000,0.00000,0.50339,0.07500,0.50626,0.07500,0.00000,10,1,10,0,1,4,0,5,-2.17021,-0.01920,0.53521,1,2.17021,0.51642,0.14069,1,0.00000,0.00000,8
20260527-233410-sentence-script-a-coiled-chromosome-fibe-88d0cc,330,5.951,1,0,1,careful,human override,0.44255,2.23702,-2.23702,0.00000,0.00000,2.23702,0.00000,0.00000,0.50453,0.07500,0.50626,0.07500,0.00000,10,1,10,0,1,4,0,5,-2.26244,-0.26543,0.46500,1,2.26244,0.39028,0.36597,1,0.00000,0.00000,8
20260527-233410-sentence-script-a-coiled-chromosome-fibe-88d0cc,343,6.201,1,0,1,careful,human override,0.45880,2.34643,-2.34643,0.00000,0.00000,2.34643,0.00000,0.00000,0.50531,0.07500,0.50626,0.07500,0.00000,10,1,10,0,1,4,0,5,-2.37173,-0.47502,0.24656,1,2.37173,0.12698,0.51955,1,0.00000,0.00000,7
20260527-233410-sentence-script-a-coiled-chromosome-fibe-88d0cc,358,6.460,1,0,1,careful,human override,0.47755,2.47283,-2.47283,0.00000,0.00000,2.47283,0.00000,0.00000,0.50579,0.07500,0.50626,0.07500,0.00000,10,0,10,0,1,5,0,5,-2.49806,-0.52567,-0.09915,1,2.49806,-0.22258,0.48613,1,0.00000,0.00000,8
20260527-233410-sentence-script-a-coiled-chromosome-fibe-88d0cc,374,6.719,1,0,1,careful,human override,0.49755,2.60774,-2.60774,0.00000,0.00000,2.60774,0.00000,0.00000,0.50603,0.07500,0.50626,0.07500,0.00000,10,1,10,0,2,5,0,6,-2.63294,-0.33282,-0.41853,1,2.63294,-0.48698,0.22018,1,0.00000,0.00000,7
20260527-233410-sentence-script-a-coiled-chromosome-fibe-88d0cc,398,6.977,1,0,1,careful,human override,0.52755,2.81020,-2.81020,0.00000,0.00000,2.81020,0.00000,0.00000,0.50619,0.07500,0.50626,0.07500,0.00000,10,1,10,0,3,5,0,6,-2.83536,0.20962,-0.49160,1,2.83536,-0.42344,-0.32563,1,0.00000,0.00000,7
20260527-233410-sentence-script-a-coiled-chromosome-fibe-88d0cc,423,7.236,1,0,1,careful,human override,0.55880,3.02112,-3.02112,0.00000,0.00000,3.02112,0.00000,0.00000,0.50624,0.07500,0.50626,0.07500,0.00000,10,1,10,0,3,5,0,6,-3.04628,0.53376,-0.02360,1,3.04628,0.11466,-0.52151,1,0.00000,0.00000,7
20260527-233410-sentence-script-a-coiled-chromosome-fibe-88d0cc,437,7.495,1,0,1,careful,human override,0.57630,3.13924,-3.13924,0.00000,0.00000,3.13924,0.00000,0.00000,0.50625,0.07500,0.50626,0.07500,0.00000,10,1,10,0,3,5,0,6,-3.16440,0.44454,0.29606,1,3.16440,0.40125,-0.35228,1,0.00000,0.00000,7
20260527-233410-sentence-script-a-coiled-chromosome-fibe-88d0cc,449,7.751,1,0,1,careful,human override,0.59130,3.24049,-3.24049,0.00000,0.00000,3.24049,0.00000,0.00000,0.50625,0.07500,0.50626,0.07500,0.00000,10,1,10,0,3,5,0,6,-3.26565,0.22704,0.48322,1,3.26565,0.52560,-0.09317,1,0.00000,0.00000,8
20260527-233410-sentence-script-a-coiled-chromosome-fibe-88d0cc,461,8.020,1,0,1,careful,human override,0.60630,3.34175,-3.34175,0.00000,0.00000,3.34175,0.00000,0.00000,0.50626,0.07500,0.50626,0.07500,0.00000,10,0,10,0,3,6,0,6,-3.36690,-0.05694,0.53067,1,3.36690,0.49717,0.19384,1,0.00000,0.00000,8
