run_id,frame,elapsed_seconds,round,paused,ai_enabled,ai_mode,simulation_mode_note,unfold_progress,fork_distance,left_fork_x,left_fork_y,left_fork_z,right_fork_x,right_fork_y,right_fork_z,replication_speed,unfold_speed,target_replication_speed,target_unfold_speed,chaos_level,attached_enzyme_count,active_particle_count,attachment_count,detachment_count,collision_count,transfer_count,mark_count,spill_count,enzyme0_x,enzyme0_y,enzyme0_z,enzyme0_attached,enzyme1_x,enzyme1_y,enzyme1_z,enzyme1_attached,completion_hold,ai_stagnation_seconds
20260528-095820-sentence-script-a-coiled-chromosome-fibe-f16115,207,3.904,1,0,1,careful,human override,0.28880,1.78509,-1.78509,0.00000,0.00000,1.78509,0.00000,0.00000,0.54897,0.07500,0.54897,0.07500,0.00000,10,1,10,0,8,2,0,4,-1.80562,-0.53767,0.00131,1,1.80562,-0.04060,0.53678,1,0.00000,0.00000
20260528-095820-sentence-script-a-coiled-chromosome-fibe-f16115,220,4.165,1,0,1,careful,human override,0.30505,1.90403,-1.90403,0.00000,0.00000,1.90403,0.00000,0.00000,0.54897,0.07500,0.54897,0.07500,0.00000,10,1,10,0,8,3,0,5,-1.92456,-0.45974,-0.27814,1,1.92456,-0.30964,0.43997,1,0.00000,0.00000
20260528-095820-sentence-script-a-coiled-chromosome-fibe-f16115,231,4.429,1,0,1,careful,human override,0.31880,2.00468,-2.00468,0.00000,0.00000,2.00468,0.00000,0.00000,0.54897,0.07500,0.54897,0.07500,0.00000,10,1,10,0,8,3,0,5,-2.02520,-0.28563,-0.45478,1,2.02520,-0.47202,0.25768,1,0.00000,0.00000
20260528-095820-sentence-script-a-coiled-chromosome-fibe-f16115,240,4.721,1,0,1,careful,human override,0.33005,2.08702,-2.08702,0.00000,0.00000,2.08702,0.00000,0.00000,0.54897,0.07500,0.54897,0.07500,0.00000,10,1,10,0,8,3,0,5,-2.10755,-0.09468,-0.52839,1,2.10755,-0.53351,0.06604,1,0.00000,0.00000
20260528-095820-sentence-script-a-coiled-chromosome-fibe-f16115,254,4.986,1,0,1,careful,human override,0.34755,2.21511,-2.21511,0.00000,0.00000,2.21511,0.00000,0.00000,0.54897,0.07500,0.54897,0.07500,0.00000,10,1,10,0,8,3,0,5,-2.23564,0.22030,-0.48912,1,2.23564,-0.47967,-0.24187,1,0.00000,0.00000
20260528-095820-sentence-script-a-coiled-chromosome-fibe-f16115,264,5.237,1,0,1,careful,human override,0.36005,2.30661,-2.30661,0.00000,0.00000,2.30661,0.00000,0.00000,0.54897,0.07500,0.54897,0.07500,0.00000,10,1,10,0,8,3,0,5,-2.32714,0.40467,-0.35175,1,2.32714,-0.33729,-0.41779,1,0.00000,0.00000
20260528-095820-sentence-script-a-coiled-chromosome-fibe-f16115,275,5.491,1,0,1,careful,human override,0.37380,2.40725,-2.40725,0.00000,0.00000,2.40725,0.00000,0.00000,0.54897,0.07500,0.54897,0.07500,0.00000,10,1,10,0,8,3,0,5,-2.42778,0.52083,-0.12644,1,2.42778,-0.11145,-0.52496,1,0.00000,0.00000
20260528-095820-sentence-script-a-coiled-chromosome-fibe-f16115,289,5.751,1,0,1,careful,careful,0.39130,2.53224,-2.53224,0.00000,0.00000,2.53224,0.00000,0.00000,0.50922,0.07500,0.41636,0.07500,0.00000,10,1,10,0,8,3,0,5,-2.55475,0.49896,0.19497,1,2.55475,0.20528,-0.49552,1,0.00000,0.00000
20260528-095820-sentence-script-a-coiled-chromosome-fibe-f16115,304,6.016,1,0,1,careful,careful,0.41005,2.65224,-2.65224,0.00000,0.00000,2.65224,0.00000,0.00000,0.45830,0.07500,0.40108,0.07500,0.00000,10,0,10,0,8,4,0,5,-2.68038,0.27538,0.45919,1,2.68038,0.46242,-0.27142,1,0.00000,0.00000
20260528-095820-sentence-script-a-coiled-chromosome-fibe-f16115,320,6.270,1,0,1,careful,careful,0.43005,2.76931,-2.76931,0.00000,0.00000,2.76931,0.00000,0.00000,0.42438,0.07500,0.38827,0.07500,0.00000,10,0,10,0,8,4,0,5,-2.80187,-0.08696,0.52825,1,2.80187,0.52901,0.08642,1,0.00000,0.00000
20260528-095820-sentence-script-a-coiled-chromosome-fibe-f16115,338,6.529,1,0,1,careful,careful,0.45255,2.89253,-2.89253,0.00000,0.00000,2.89253,0.00000,0.00000,0.40025,0.07500,0.37741,0.07500,0.00000,10,0,10,0,8,4,0,5,-2.92826,-0.43725,0.30868,1,2.92826,0.31314,0.43464,1,0.00000,0.00000
20260528-095820-sentence-script-a-coiled-chromosome-fibe-f16115,356,6.783,1,0,1,careful,careful,0.47505,3.00995,-3.00995,0.00000,0.00000,3.00995,0.00000,0.00000,0.38449,0.07500,0.36914,0.07500,0.00000,10,0,10,0,8,4,0,5,-3.04770,-0.52610,-0.09698,1,3.04770,-0.08771,0.52824,1,0.00000,0.00000
20260528-095820-sentence-script-a-coiled-chromosome-fibe-f16115,372,7.049,1,0,1,careful,careful,0.49505,3.11103,-3.11103,0.00000,0.00000,3.11103,0.00000,0.00000,0.37463,0.07500,0.36325,0.07500,0.00000,10,0,10,0,8,4,0,5,-3.15001,-0.33471,-0.41706,1,3.15001,-0.40845,0.34608,1,0.00000,0.00000
20260528-095820-sentence-script-a-coiled-chromosome-fibe-f16115,386,7.312,1,0,1,careful,careful,0.51255,3.19760,-3.19760,0.00000,0.00000,3.19760,0.00000,0.00000,0.36829,0.07500,0.36034,0.07500,0.00000,10,0,10,0,8,4,0,5,-3.23739,-0.02715,-0.53390,1,3.23739,-0.53321,0.04552,1,0.00000,0.00000
20260528-095820-sentence-script-a-coiled-chromosome-fibe-f16115,399,7.575,1,0,1,careful,careful,0.52880,3.27693,-3.27693,0.00000,0.00000,3.27693,0.00000,0.00000,0.36462,0.07500,0.36041,0.07500,0.00000,10,0,10,0,8,4,0,5,-3.31723,0.27071,-0.46090,1,3.31723,-0.47175,-0.25229,1,0.00000,0.00000
20260528-095820-sentence-script-a-coiled-chromosome-fibe-f16115,412,7.834,1,0,1,careful,careful,0.54505,3.35574,-3.35574,0.00000,0.00000,3.35574,0.00000,0.00000,0.36340,0.07500,0.36337,0.07500,0.00000,10,0,10,0,8,4,0,5,-3.39630,0.47966,-0.23564,1,3.39630,-0.25680,-0.46906,1,0.00000,0.00000
20260528-095820-sentence-script-a-coiled-chromosome-fibe-f16115,426,8.100,1,0,1,careful,careful,0.56255,3.44067,-3.44067,0.00000,0.00000,3.44067,0.00000,0.00000,0.36496,0.07500,0.36934,0.07500,0.00000,10,0,10,0,8,4,0,5,-3.48121,0.52637,0.09174,1,3.48121,0.06626,-0.53049,1,0.00000,0.00000
20260528-095820-sentence-script-a-coiled-chromosome-fibe-f16115,440,8.364,1,0,1,careful,careful,0.58005,3.52632,-3.52632,0.00000,0.00000,3.52632,0.00000,0.00000,0.36929,0.07500,0.37806,0.07500,0.00000,10,0,10,0,8,4,0,5,-3.56653,0.37080,0.38452,1,3.56653,0.36505,-0.39029,1,0.00000,0.00000
20260528-095820-sentence-script-a-coiled-chromosome-fibe-f16115,454,8.627,1,0,1,careful,careful,0.59755,3.61333,-3.61333,0.00000,0.00000,3.61333,0.00000,0.00000,0.37648,0.07500,0.38925,0.07500,0.00000,10,0,10,0,8,4,0,5,-3.65291,0.07181,0.52920,1,3.65291,0.52480,-0.09909,1,0.00000,0.00000
20260528-095820-sentence-script-a-coiled-chromosome-fibe-f16115,468,8.893,1,0,1,careful,careful,0.61505,3.70236,-3.70236,0.00000,0.00000,3.70236,0.00000,0.00000,0.38629,0.07500,0.40290,0.07500,0.00000,10,0,10,0,8,4,0,5,-3.74100,-0.25573,0.46870,1,3.74100,0.48089,0.23174,1,0.00000,0.00000
20260528-095820-sentence-script-a-coiled-chromosome-fibe-f16115,481,9.152,1,0,1,careful,careful,0.63130,3.78736,-3.78736,0.00000,0.00000,3.78736,0.00000,0.00000,0.39780,0.07500,0.41807,0.07500,0.00000,10,1,10,0,8,4,0,6,-3.82488,-0.47333,0.24671,1,3.82488,0.26925,0.46069,1,0.00000,0.00000
20260528-095820-sentence-script-a-coiled-chromosome-fibe-f16115,496,9.405,1,0,1,careful,careful,0.65005,3.88881,-3.88881,0.00000,0.00000,3.88881,0.00000,0.00000,0.41288,0.07500,0.43429,0.07500,0.00000,10,1,10,0,11,4,0,6,-3.92478,-0.52267,-0.10767,1,3.92478,-0.08376,0.52683,1,0.00000,0.00000
20260528-095820-sentence-script-a-coiled-chromosome-fibe-f16115,514,9.662,1,0,1,careful,careful,0.67255,4.01552,-4.01552,0.00000,0.00000,4.01552,0.00000,0.00000,0.43083,0.07500,0.45192,0.07500,0.00000,10,1,10,0,11,4,0,6,-4.04955,-0.27708,-0.45595,1,4.04955,-0.44340,0.29658,1,0.00000,0.00000
20260528-095820-sentence-script-a-coiled-chromosome-fibe-f16115,532,9.913,1,0,1,careful,careful,0.69505,4.14764,-4.14764,0.00000,0.00000,4.14764,0.00000,0.00000,0.44887,0.07500,0.46974,0.07500,0.00000,10,3,10,0,13,4,0,8,-4.17971,0.14567,-0.51322,1,4.17971,-0.51876,-0.12406,1,0.00000,0.00000
20260528-095820-sentence-script-a-coiled-chromosome-fibe-f16115,549,10.175,1,0,1,careful,careful,0.71630,4.27733,-4.27733,0.00000,0.00000,4.27733,0.00000,0.00000,0.46589,0.07500,0.48856,0.07500,0.00000,10,2,10,0,13,5,0,8,-4.30758,0.46427,-0.26239,1,4.30758,-0.28242,-0.45254,1,0.00000,0.00000
20260528-095820-sentence-script-a-coiled-chromosome-fibe-f16115,563,10.429,1,0,1,careful,careful,0.73380,4.38799,-4.38799,0.00000,0.00000,4.38799,0.00000,0.00000,0.48175,0.07500,0.50663,0.07500,0.00000,10,2,10,0,13,5,0,8,-4.41660,0.52872,0.06885,1,4.41660,0.04424,-0.53157,1,0.00000,0.00000
20260528-095820-sentence-script-a-coiled-chromosome-fibe-f16115,576,10.680,1,0,1,careful,careful,0.75005,4.49421,-4.49421,0.00000,0.00000,4.49421,0.00000,0.00000,0.49759,0.07500,0.52393,0.07500,0.00000,10,2,10,0,13,5,0,8,-4.52115,0.39806,0.35468,1,4.52115,0.33468,-0.41537,1,0.00000,0.00000
20260528-095820-sentence-script-a-coiled-chromosome-fibe-f16115,589,10.932,1,0,1,careful,careful,0.76630,4.60392,-4.60392,0.00000,0.00000,4.60392,0.00000,0.00000,0.51387,0.07500,0.54023,0.07500,0.00000,10,2,10,0,14,6,0,9,-4.62913,0.12910,0.51729,1,4.62913,0.50994,-0.15661,1,0.00000,0.00000
20260528-095820-sentence-script-a-coiled-chromosome-fibe-f16115,602,11.186,1,0,1,careful,careful,0.78255,4.71712,-4.71712,0.00000,0.00000,4.71712,0.00000,0.00000,0.52976,0.07500,0.55530,0.07500,0.00000,10,1,10,0,14,6,0,9,-4.74059,-0.18496,0.49998,1,4.74059,0.50990,0.15647,1,0.00000,0.00000
20260528-095820-sentence-script-a-coiled-chromosome-fibe-f16115,616,11.440,1,0,1,careful,careful,0.80005,4.84275,-4.84275,0.00000,0.00000,4.84275,0.00000,0.00000,0.54568,0.07500,0.56857,0.07500,0.00000,10,3,10,0,14,6,0,11,-4.86444,-0.44863,0.28783,1,4.86444,0.31443,0.43075,1,0.00000,0.00000
20260528-095820-sentence-script-a-coiled-chromosome-fibe-f16115,630,11.700,1,0,1,careful,careful,0.81755,4.97188,-4.97188,0.00000,0.00000,4.97188,0.00000,0.00000,0.55983,0.07500,0.58011,0.07500,0.00000,10,3,10,0,16,6,0,11,-4.99194,-0.53146,-0.04038,1,4.99194,-0.00649,0.53324,1,0.00000,0.00000
20260528-095820-sentence-script-a-coiled-chromosome-fibe-f16115,644,11.968,1,0,1,careful,careful,0.83505,5.10409,-5.10409,0.00000,0.00000,5.10409,0.00000,0.00000,0.57217,0.07500,0.58939,0.07500,0.00000,10,4,10,0,16,6,0,12,-5.12272,-0.39949,-0.35270,1,5.12272,-0.32490,0.42285,1,0.00000,0.00000
20260528-095820-sentence-script-a-coiled-chromosome-fibe-f16115,657,12.221,1,0,1,chaotic,chaotic,0.85215,5.23009,-5.23009,0.00000,0.00000,5.23009,0.00000,0.00000,0.60434,0.09473,0.75934,0.18900,1.00000,10,11,10,0,18,7,0,20,-5.30499,-0.15623,-0.50958,1,5.20698,-0.54641,0.14870,1,0.00000,0.00000
20260528-095820-sentence-script-a-coiled-chromosome-fibe-f16115,671,12.475,1,0,1,chaotic,chaotic,0.87945,5.38917,-5.38917,0.00000,0.00000,5.38917,0.00000,0.00000,0.76288,0.12915,1.06116,0.15153,1.00000,10,16,10,0,24,7,0,25,-5.44436,0.24631,-0.46479,1,5.46483,-0.40872,-0.38649,1,0.00000,0.00000
20260528-095820-sentence-script-a-coiled-chromosome-fibe-f16115,686,12.744,1,0,1,chaotic,chaotic,0.91229,5.61020,-5.61020,0.00000,0.00000,5.61020,0.00000,0.00000,0.99327,0.12972,1.32242,0.11785,1.00000,9,31,10,1,34,7,0,40,-5.47411,0.53854,0.03243,1,5.60209,0.37890,-0.21796,0,0.00000,0.00000
20260528-095820-sentence-script-a-coiled-chromosome-fibe-f16115,700,13.003,1,0,1,chaotic,chaotic,0.94144,5.86664,-5.86664,0.00000,0.00000,5.86664,0.00000,0.00000,1.17881,0.12107,1.39759,0.11138,1.00000,9,28,10,1,48,15,0,45,-5.83506,0.20690,0.51545,1,4.99807,0.99869,0.62828,0,0.00000,0.00000
20260528-095820-sentence-script-a-coiled-chromosome-fibe-f16115,714,13.268,1,0,1,chaotic,chaotic,0.96952,6.15352,-6.15352,0.00000,0.00000,6.15352,0.00000,0.00000,1.25119,0.12220,1.25705,0.13545,1.00000,8,39,10,2,52,16,0,57,-6.23603,0.60675,1.20429,0,3.76882,1.19509,1.60443,0,0.00000,0.00000
