run_id,frame,elapsed_seconds,simulation_seconds,round_index,ai_enabled,human_override,paused,ai_mode,ai_action,cell_x,cell_y,cell_z,cell_vx,cell_vy,cell_vz,pathogen_x,pathogen_y,pathogen_z,pathogen_vx,pathogen_vy,pathogen_vz,distance,attached,engulfed,digest_complete,wrap_progress,digestion_progress,bacterium_scale,collision_count,attach_count,detach_count,engulf_count,orbit_count,mark_count,spill_count,reset_count,trail_count,enzyme_particle_count,digest_particle_count,stagnation_timer
20260527-224029-sentence-script-a-large-flexible-amoeboi-2376c7,265,4.09417,4.09515,1,1,0,0,seek,boot,1.11283,1.05,1.26318,2.71205,0.0,1.69847,13.24501,0.86,8.77148,-0.4835,0.0,-0.56842,14.2676,0,0,0,0.0,0.0,1.0,0,0,0,0,0,21,0,0,21,0,0,0.0
20260527-224029-sentence-script-a-large-flexible-amoeboi-2376c7,280,4.36319,4.36417,1,1,0,0,seek,boot,1.84304,1.05,1.71914,2.71639,0.0,1.69152,13.18734,0.86,8.68307,0.00443,0.0,-0.13068,13.31125,0,0,0,0.0,0.0,1.0,0,0,0,0,0,23,0,0,23,0,0,0.0
20260527-224029-sentence-script-a-large-flexible-amoeboi-2376c7,294,4.62989,4.63086,1,1,0,0,seek,boot,2.56811,1.05,2.16924,2.72065,0.0,1.68466,13.24596,0.86,8.70378,0.39169,0.0,0.24434,12.51864,0,0,0,0.0,0.0,1.0,0,0,0,0,0,24,0,0,24,0,0,0.0
20260527-224029-sentence-script-a-large-flexible-amoeboi-2376c7,308,4.88569,4.88667,1,1,0,0,careful_stalk,careful_stalk:timer,3.26449,1.05,2.5995,2.72324,0.0,1.68047,13.39427,0.86,8.80587,0.72277,0.0,0.51581,11.87988,0,0,0,0.0,0.0,1.0,0,0,0,0,0,26,0,0,26,0,0,0.0
20260527-224029-sentence-script-a-large-flexible-amoeboi-2376c7,323,5.14641,5.14739,1,1,0,0,careful_stalk,careful_stalk:timer,3.97275,1.05,3.04042,2.70632,0.0,1.70758,13.60655,0.86,8.96502,0.90158,0.0,0.67572,11.30977,0,0,0,0.0,0.0,1.0,0,0,0,0,0,27,0,0,27,0,0,0.0
20260527-224029-sentence-script-a-large-flexible-amoeboi-2376c7,339,5.41104,5.41202,1,1,0,0,careful_stalk,careful_stalk:timer,4.68341,1.05,3.50088,2.66372,0.0,1.7733,13.70009,0.86,9.0506,-0.80412,0.0,-0.44673,10.58772,0,0,0,0.0,0.0,1.0,0,0,0,0,0,28,0,0,28,0,0,0.0
20260527-224029-sentence-script-a-large-flexible-amoeboi-2376c7,355,5.67123,5.67221,1,1,0,0,careful_stalk,careful_stalk:timer,5.36868,1.05,3.97374,2.60542,0.0,1.8579,13.54486,0.86,8.97152,-0.41079,0.0,-0.18159,9.58269,0,0,0,0.0,0.0,1.0,0,0,0,0,0,30,0,0,30,0,0,0.0
20260527-224029-sentence-script-a-large-flexible-amoeboi-2376c7,371,5.93665,5.93763,1,1,0,0,careful_stalk,careful_stalk:timer,6.05096,1.05,4.47951,2.5398,0.0,1.94664,13.49513,0.86,8.95448,-0.01507,0.0,0.02737,8.68568,0,0,0,0.0,0.0,1.0,0,0,0,0,0,32,0,0,32,0,0,0.0
20260527-224029-sentence-script-a-large-flexible-amoeboi-2376c7,387,6.19861,6.19958,1,1,0,0,careful_stalk,careful_stalk:timer,6.70788,1.05,5.00017,2.4815,0.0,2.02043,13.53689,0.86,8.98251,0.30511,0.0,0.16456,7.90534,0,0,0,0.0,0.0,1.0,0,0,0,0,0,34,0,0,34,0,0,0.0
20260527-224029-sentence-script-a-large-flexible-amoeboi-2376c7,403,6.4534,6.45438,1,1,0,0,careful_stalk,careful_stalk:timer,7.33447,1.05,5.52183,2.44335,0.0,2.0664,13.65343,0.86,9.03683,0.58357,0.0,0.24946,7.2308,0,0,0,0.0,0.0,1.0,0,0,0,0,0,35,0,0,35,0,0,0.0
20260527-224029-sentence-script-a-large-flexible-amoeboi-2376c7,419,6.70498,6.70596,1,1,0,0,careful_stalk,careful_stalk:timer,7.94724,1.05,6.044,2.43386,0.0,2.07757,13.74538,0.86,9.04957,-0.42384,0.0,-0.52166,6.53084,0,0,0,0.0,0.0,1.0,0,0,0,0,0,36,0,0,36,0,0,0.0
20260527-224029-sentence-script-a-large-flexible-amoeboi-2376c7,435,6.97109,6.97207,1,1,0,0,careful_stalk,careful_stalk:timer,8.59811,1.05,6.59306,2.4633,0.0,2.04259,13.69308,0.86,8.93944,0.00055,0.0,-0.32451,5.6093,0,0,0,0.0,0.0,1.0,0,0,0,0,0,38,0,0,38,0,0,0.0
20260527-224029-sentence-script-a-large-flexible-amoeboi-2376c7,450,7.2246,7.22557,1,1,0,0,careful_stalk,careful_stalk:timer,9.23097,1.05,7.1005,2.53127,0.0,1.95772,13.73379,0.86,8.87815,0.30304,0.0,-0.16538,4.84102,0,0,0,0.0,0.0,1.0,0,0,0,0,0,39,0,0,39,0,0,0.0
20260527-224029-sentence-script-a-large-flexible-amoeboi-2376c7,465,7.48937,7.49035,1,1,0,0,careful_stalk,careful_stalk:timer,9.91533,1.05,7.59936,2.63425,0.0,1.80922,13.85539,0.86,8.86051,0.59627,0.0,0.00179,4.13698,0,0,0,0.0,0.0,1.0,0,0,0,0,0,40,0,0,39,0,0,0.0
20260527-224029-sentence-script-a-large-flexible-amoeboi-2376c7,479,7.76057,7.76154,1,1,0,0,careful_stalk,careful_stalk:timer,10.64652,1.05,8.05915,2.75041,0.0,1.58476,13.88866,0.86,8.77127,-0.10416,0.0,-0.50489,3.31942,0,0,0,0.0,0.0,1.0,0,0,0,0,0,43,0,0,42,0,0,0.0
20260527-224029-sentence-script-a-large-flexible-amoeboi-2376c7,494,8.01239,8.01337,1,1,0,0,wrap,wrap:contact,11.36844,1.05,8.41505,2.94145,0.0,1.2601,13.20161,1.00111,8.63133,0.00015,0.0,-0.00207,1.84588,1,0,0,0.30641,0.0,1.0,10,1,0,0,0,44,3,0,43,3,0,0.0
