run_id,sim_time,round_number,row_type,entity_id,entity_state,x,y,z,vx,vy,vz,radius,opacity,color_r,color_g,color_b,selected,ai_enabled,ai_mode,human_override_active,paused,event_count,free_viruses,bound_viruses,injecting_viruses,endocytosed_viruses,released_viruses,open_receptors,occupied_receptors,used_receptors,marked_receptors,particles_count,loose_genomes_count,active_genomes_count,target_receptor_id,bound_receptor_id,bound_time,genome_length,genome_active,receptor_use_count,receptor_marked,extra
20260526-185455-sentence-script-virus-particles-with-spi-772194,0.0300,1,particle,0,burst_particle,-0.005608568969115301,4.725680593992786,-0.037233844535429404,-0.05824981860732891,-0.04575939020282929,-0.04907885384986448,0.039658201735351555,0.7569674788592773,0.8860734374296343,0.7337802186923,0.22613615623451955,,1,curious_probe,0,0,2,10,0,0,0,0,22,0,0,1,24,0,0,,,,,,,,life=0.9859547822416859
20260526-185455-sentence-script-virus-particles-with-spi-772194,0.0300,1,particle,1,burst_particle,-0.01906502315549804,4.682643912864021,0.02852765121871869,0.15136303600179968,0.029050987644628493,-0.1679099512823126,0.04980916480287717,0.7670849913273043,0.8540513836544299,0.7075221345966325,0.2190913044039746,,1,curious_probe,0,0,2,10,0,0,0,0,22,0,0,1,24,0,0,,,,,,,,life=1.7818454732028999
20260526-185455-sentence-script-virus-particles-with-spi-772194,0.0300,1,particle,2,burst_particle,-0.037232043365428055,4.729202811558233,0.00683761957031177,0.005423166303214958,0.14269149042215473,0.12830598209842184,0.02907751983827507,0.7635743317904693,0.7684632325422696,0.637339850684661,0.2002619111592993,,1,curious_probe,0,0,2,10,0,0,0,0,22,0,0,1,24,0,0,,,,,,,,life=1.3945995780203637
20260526-185455-sentence-script-virus-particles-with-spi-772194,0.0300,1,particle,3,burst_particle,0.008666823233240648,4.652350869842209,-0.019153799003805178,0.31115009561407136,-0.2729906970874849,0.08830255673275225,0.044332825599779344,0.766202129135065,0.9964295367531418,0.8242722201375763,0.2504144980856912,,1,curious_probe,0,0,2,10,0,0,0,0,22,0,0,1,24,0,0,,,,,,,,life=1.6659138282318078
20260526-185455-sentence-script-virus-particles-with-spi-772194,0.0300,1,particle,4,burst_particle,-0.04336066873309337,4.6733901502712945,0.02948667715931965,-0.23696278598563406,-0.3878321477150569,0.2342100951058991,0.02930801061447868,0.7525230135066775,0.775443498594159,0.6430636688472103,0.20179756969071497,,1,curious_probe,0,0,2,10,0,0,0,0,22,0,0,1,24,0,0,,,,,,,,life=0.8216217746690182
20260526-185455-sentence-script-virus-particles-with-spi-772194,0.0300,1,particle,5,burst_particle,-0.013884029707281934,4.661971935250952,-0.010257405028623665,0.0024385424493456043,0.11296817560777384,0.008373242019738998,0.02881056164355992,0.751394071268692,0.83178162532929,0.6892609327700178,0.2141919575724438,,1,curious_probe,0,0,2,10,0,0,0,0,22,0,0,1,24,0,0,,,,,,,,life=0.7880122456359769
20260526-185455-sentence-script-virus-particles-with-spi-772194,0.0300,1,particle,6,burst_particle,-0.012683119602572542,4.739435317504318,-0.005363464253816999,0.027278176526285853,-0.08674768746908058,0.10224406266786747,0.03704670480326044,0.7640640571794068,0.8421333222470616,0.6977493242425905,0.21646933089435355,,1,curious_probe,0,0,2,10,0,0,0,0,22,0,0,1,24,0,0,,,,,,,,life=1.438378762614627
20260526-185455-sentence-script-virus-particles-with-spi-772194,0.0300,1,particle,7,burst_particle,-0.051328652532307624,4.699481258147144,-0.012394351811572758,-0.2850662158483812,-0.2494457792874533,0.0033706839328951723,0.02589825461396711,0.766257429658567,0.8289960178796589,0.6869767346613203,0.21357912393352496,,1,curious_probe,0,0,2,10,0,0,0,0,22,0,0,1,24,0,0,,,,,,,,life=1.6727382373623614
20260526-185455-sentence-script-virus-particles-with-spi-772194,0.0300,1,particle,8,burst_particle,0.00832063891019613,4.724051514543587,0.029957732811375388,0.4698526366162612,-0.246377623006207,-0.051227250363532026,0.02121017281439658,0.7528277834157854,0.9294350309313053,0.7693367253636703,0.23567570680488717,,1,curious_probe,0,0,2,10,0,0,0,0,22,0,0,1,24,0,0,,,,,,,,life=0.8311737628204356
20260526-185455-sentence-script-virus-particles-with-spi-772194,0.0300,1,particle,9,burst_particle,-0.04123895962502326,4.7106864093397345,0.03603554216226182,-0.2061553188645264,0.14487544359326304,0.27597559560869256,0.02362991041392944,0.7575891163059277,0.8526771353091485,0.7063952509535018,0.21878896976801265,,1,curious_probe,0,0,2,10,0,0,0,0,22,0,0,1,24,0,0,,,,,,,,life=1.0141355334055546
