run_id,sample_index,sim_time_s,frame,round,ai_enabled,ai_mode,paused,ion_index,ion_charge,ion_marked,ion_attached_channel,ion_inside,ion_x,ion_y,ion_z,ion_vx,ion_vy,ion_vz,ion_speed,ion_recent_transfer_timer,total_ions,inside_count,outside_count,open_channel_count,total_crossings,global_pressure_bias,global_swirl_strength,electric_x,electric_y,electric_z,channel_open_mask,channel_attached_counts
20260525-190407-sentence-script-a-transparent-3d-cell-me-8bbf3b,0,0.02,1,1,1,BALANCE,0,0,1,0,,0,-0.256534,1.306787,7.371619,-0.35948,-0.135729,0.193686,0.430305,0,64,0,64,5,0,-0.72,0.18,0.0008,0.02,0.029994,1010101010,0|0|0|0|0|0|0|0|0|0
20260525-190407-sentence-script-a-transparent-3d-cell-me-8bbf3b,0,0.02,1,1,1,BALANCE,0,1,1,0,,0,-6.529668,0.650695,-1.599705,0.040792,0.4294,-0.452849,0.625396,0,64,0,64,5,0,-0.72,0.18,0.0008,0.02,0.029994,1010101010,0|0|0|0|0|0|0|0|0|0
20260525-190407-sentence-script-a-transparent-3d-cell-me-8bbf3b,0,0.02,1,1,1,BALANCE,0,2,1,0,,0,-4.934143,-2.850091,3.449219,-0.634116,0.21049,0.128159,0.680319,0,64,0,64,5,0,-0.72,0.18,0.0008,0.02,0.029994,1010101010,0|0|0|0|0|0|0|0|0|0
20260525-190407-sentence-script-a-transparent-3d-cell-me-8bbf3b,0,0.02,1,1,1,BALANCE,0,3,-1,0,,0,3.222252,-2.956881,-4.271868,-0.547431,-0.163243,-0.154769,0.591847,0,64,0,64,5,0,-0.72,0.18,0.0008,0.02,0.029994,1010101010,0|0|0|0|0|0|0|0|0|0
20260525-190407-sentence-script-a-transparent-3d-cell-me-8bbf3b,0,0.02,1,1,1,BALANCE,0,4,-1,0,,0,-6.378276,0.300131,-1.572695,0.014553,-0.312509,-0.494199,0.584899,0,64,0,64,5,0,-0.72,0.18,0.0008,0.02,0.029994,1010101010,0|0|0|0|0|0|0|0|0|0
20260525-190407-sentence-script-a-transparent-3d-cell-me-8bbf3b,0,0.02,1,1,1,BALANCE,0,5,-1,0,,0,-0.673899,4.953765,-5.607631,0.069491,0.059466,-0.752188,0.757728,0,64,0,64,5,0,-0.72,0.18,0.0008,0.02,0.029994,1010101010,0|0|0|0|0|0|0|0|0|0
20260525-190407-sentence-script-a-transparent-3d-cell-me-8bbf3b,0,0.02,1,1,1,BALANCE,0,6,-1,0,,0,-2.697727,-3.068021,-6.810503,0.386311,0.681807,-0.104425,0.79057,0,64,0,64,5,0,-0.72,0.18,0.0008,0.02,0.029994,1010101010,0|0|0|0|0|0|0|0|0|0
20260525-190407-sentence-script-a-transparent-3d-cell-me-8bbf3b,0,0.02,1,1,1,BALANCE,0,7,1,0,,0,-5.215415,3.061622,-3.081997,0.560626,-0.365445,0.086258,0.674753,0,64,0,64,5,0,-0.72,0.18,0.0008,0.02,0.029994,1010101010,0|0|0|0|0|0|0|0|0|0
20260525-190407-sentence-script-a-transparent-3d-cell-me-8bbf3b,0,0.02,1,1,1,BALANCE,0,8,-1,0,,0,-0.777445,2.96562,-5.298859,-0.362536,0.46549,-0.385892,0.705001,0,64,0,64,5,0,-0.72,0.18,0.0008,0.02,0.029994,1010101010,0|0|0|0|0|0|0|0|0|0
20260525-190407-sentence-script-a-transparent-3d-cell-me-8bbf3b,0,0.02,1,1,1,BALANCE,0,9,-1,0,,0,-4.576333,4.233102,-2.180934,-0.370034,0.206898,0.51449,0.666657,0,64,0,64,5,0,-0.72,0.18,0.0008,0.02,0.029994,1010101010,0|0|0|0|0|0|0|0|0|0
