run_id,frame,elapsed_seconds,round,paused,ai_enabled,ai_mode,simulation_mode_note,unfold_progress,fork_distance,left_fork_x,left_fork_y,left_fork_z,right_fork_x,right_fork_y,right_fork_z,replication_speed,unfold_speed,target_replication_speed,target_unfold_speed,chaos_level,attached_enzyme_count,active_particle_count,attachment_count,detachment_count,collision_count,transfer_count,mark_count,spill_count,enzyme0_x,enzyme0_y,enzyme0_z,enzyme0_attached,enzyme1_x,enzyme1_y,enzyme1_z,enzyme1_attached,completion_hold,ai_stagnation_seconds,left_fork_paused,right_fork_paused
20260527-232830-sentence-script-a-coiled-chromosome-fibe-eb0861,250,4.108,1,1,1,careful,human override,0.18821,0.50003,-0.50003,0.00000,0.00000,0.50003,0.00000,0.00000,0.00091,0.03383,0.46422,0.07500,0.00000,10,2,10,0,4,4,0,6,-0.58003,0.08492,-0.53030,1,0.58003,-0.50425,-0.18450,1,0.00000,1.35417,1,0
20260527-232830-sentence-script-a-coiled-chromosome-fibe-eb0861,261,4.428,1,1,1,careful,human override,0.18821,0.50003,-0.50003,0.00000,0.00000,0.50003,0.00000,0.00000,0.00091,0.03383,0.46422,0.07500,0.00000,10,1,10,0,4,5,0,6,-0.58003,0.31501,-0.43467,1,0.58003,-0.36602,-0.39252,1,0.00000,1.21667,1,0
20260527-232830-sentence-script-a-coiled-chromosome-fibe-eb0861,270,4.687,1,1,1,careful,human override,0.18821,0.50003,-0.50003,0.00000,0.00000,0.50003,0.00000,0.00000,0.00091,0.03383,0.46422,0.07500,0.00000,10,0,10,0,4,6,0,6,-0.58003,0.45493,-0.28470,1,0.58003,-0.19091,-0.50132,1,0.00000,1.10417,1,0
20260527-232830-sentence-script-a-coiled-chromosome-fibe-eb0861,277,4.960,1,1,1,careful,human override,0.18821,0.50003,-0.50003,0.00000,0.00000,0.50003,0.00000,0.00000,0.00091,0.03383,0.46422,0.07500,0.00000,10,0,10,0,4,6,0,6,-0.58003,0.51863,-0.13750,1,0.58003,-0.03308,-0.53524,1,0.00000,1.01667,1,0
20260527-232830-sentence-script-a-coiled-chromosome-fibe-eb0861,286,5.237,1,1,1,careful,human override,0.18821,0.50003,-0.50003,0.00000,0.00000,0.50003,0.00000,0.00000,0.00091,0.03383,0.46422,0.07500,0.00000,10,0,10,0,4,6,0,6,-0.58003,0.53196,0.06853,1,0.58003,0.17270,-0.50750,1,0.00000,0.90417,1,0
20260527-232830-sentence-script-a-coiled-chromosome-fibe-eb0861,295,5.505,1,1,1,careful,human override,0.18821,0.50003,-0.50003,0.00000,0.00000,0.50003,0.00000,0.00000,0.00091,0.03383,0.46422,0.07500,0.00000,10,0,10,0,4,6,0,6,-0.58003,0.46625,0.26485,1,0.58003,0.35309,-0.40312,1,0.00000,0.79167,1,0
20260527-232830-sentence-script-a-coiled-chromosome-fibe-eb0861,307,5.768,1,1,1,careful,human override,0.18821,0.50003,-0.50003,0.00000,0.00000,0.50003,0.00000,0.00000,0.00091,0.03383,0.46422,0.07500,0.00000,10,0,10,0,4,6,0,6,-0.58003,0.27294,0.46131,1,0.58003,0.50727,-0.17194,1,0.00000,0.64167,1,0
20260527-232830-sentence-script-a-coiled-chromosome-fibe-eb0861,321,6.023,1,1,1,careful,human override,0.18821,0.50003,-0.50003,0.00000,0.00000,0.50003,0.00000,0.00000,0.00091,0.03383,0.46422,0.07500,0.00000,10,0,10,0,4,6,0,6,-0.58003,-0.04018,0.53430,1,0.58003,0.51338,0.15204,1,0.00000,0.46667,1,0
20260527-232830-sentence-script-a-coiled-chromosome-fibe-eb0861,335,6.284,1,1,1,careful,human override,0.18821,0.50003,-0.50003,0.00000,0.00000,0.50003,0.00000,0.00000,0.00091,0.03383,0.46422,0.07500,0.00000,10,0,10,0,4,6,0,6,-0.58003,-0.33987,0.41391,1,0.58003,0.33084,0.42077,1,0.00000,0.29167,1,0
20260527-232830-sentence-script-a-coiled-chromosome-fibe-eb0861,349,6.537,1,1,1,careful,human override,0.18821,0.50003,-0.50003,0.00000,0.00000,0.50003,0.00000,0.00000,0.00091,0.03383,0.46422,0.07500,0.00000,10,0,10,0,4,6,0,6,-0.58003,-0.51630,0.14131,1,0.58003,0.02551,0.53450,1,0.00000,0.11667,1,0
20260527-232830-sentence-script-a-coiled-chromosome-fibe-eb0861,363,6.804,1,1,1,careful,human override,0.18821,0.50003,-0.50003,0.00000,0.00000,0.50003,0.00000,0.00000,0.00091,0.03383,0.46422,0.07500,0.00000,10,0,10,0,4,6,0,6,-0.58003,-0.50209,-0.18480,1,0.58003,-0.29031,0.44924,1,0.00000,0.00000,1,0
20260527-232830-sentence-script-a-coiled-chromosome-fibe-eb0861,377,7.067,1,1,1,careful,human override,0.18821,0.50003,-0.50003,0.00000,0.00000,0.50003,0.00000,0.00000,0.00091,0.03383,0.46422,0.07500,0.00000,10,0,10,0,4,6,0,6,-0.58003,-0.29975,-0.44286,1,0.58003,-0.49799,0.19466,1,0.00000,0.00000,1,0
20260527-232830-sentence-script-a-coiled-chromosome-fibe-eb0861,391,7.331,1,1,1,careful,human override,0.18821,0.50003,-0.50003,0.00000,0.00000,0.50003,0.00000,0.00000,0.00091,0.03383,0.46422,0.07500,0.00000,10,0,10,0,4,6,0,6,-0.58003,0.01637,-0.53432,1,0.58003,-0.51728,-0.13448,1,0.00000,0.00000,0,0
20260527-232830-sentence-script-a-coiled-chromosome-fibe-eb0861,405,7.595,1,1,1,careful,human override,0.18821,0.50003,-0.50003,0.00000,0.00000,0.50003,0.00000,0.00000,0.00091,0.03383,0.46422,0.07500,0.00000,10,0,10,0,4,6,0,6,-0.58003,0.32703,-0.42269,1,0.58003,-0.33965,-0.41262,1,0.00000,0.00000,1,0
20260527-232830-sentence-script-a-coiled-chromosome-fibe-eb0861,418,7.846,1,1,1,careful,human override,0.18821,0.50003,-0.50003,0.00000,0.00000,0.50003,0.00000,0.00000,0.00091,0.03383,0.46422,0.07500,0.00000,10,0,10,0,4,6,0,6,-0.58003,0.50574,-0.17262,1,0.58003,-0.05568,-0.53139,1,0.00000,0.00000,1,0
20260527-232830-sentence-script-a-coiled-chromosome-fibe-eb0861,432,8.103,1,1,1,careful,human override,0.18821,0.50003,-0.50003,0.00000,0.00000,0.50003,0.00000,0.00000,0.00091,0.03383,0.46422,0.07500,0.00000,10,0,10,0,4,6,0,6,-0.58003,0.51042,0.15798,1,0.58003,0.26892,-0.46144,1,0.00000,0.00000,1,0
20260527-232830-sentence-script-a-coiled-chromosome-fibe-eb0861,446,8.364,1,1,1,careful,human override,0.18821,0.50003,-0.50003,0.00000,0.00000,0.50003,0.00000,0.00000,0.00091,0.03383,0.46422,0.07500,0.00000,10,0,10,0,4,6,0,6,-0.58003,0.31882,0.42860,1,0.58003,0.49008,-0.21163,1,0.00000,0.00000,1,0
20260527-232830-sentence-script-a-coiled-chromosome-fibe-eb0861,459,8.620,1,1,1,careful,human override,0.18821,0.50003,-0.50003,0.00000,0.00000,0.50003,0.00000,0.00000,0.00091,0.03383,0.46422,0.07500,0.00000,10,0,10,0,4,6,0,6,-0.58003,0.02799,0.53334,1,0.58003,0.52480,0.09742,1,0.00000,0.00000,1,0
20260527-232830-sentence-script-a-coiled-chromosome-fibe-eb0861,472,8.874,1,1,1,careful,careful,0.18821,0.50003,-0.50003,0.00000,0.00000,0.50003,0.00000,0.00000,0.00091,0.03383,0.53314,0.07500,0.00000,10,0,10,0,4,6,0,6,-0.58003,-0.27301,0.45883,1,0.58003,0.38174,0.37312,1,0.00000,0.00000,1,0
