run_id,time,round,row_type,object_id,object_name,state,ai_enabled,ai_mode,paused,flow_speed,delivered_round,total_delivered,active_vesicles,incoming_count,attached_count,transfer_count,outgoing_count,particle_count,membrane_mark_count,selected_vesicle_id,x,y,z,vx,vy,vz,radius,progress,cis_index,s,age,stall_time,target_x,target_y,target_z,cargo_x,cargo_y,cargo_z,color_r,color_g,color_b,opacity,life,max_life,cisterna_index,cisterna_y,receptor_index,membrane_x,drone_x,drone_y,drone_z,stagnation_time,completion_time
20260526-184203-sentence-script-stacked-curved-golgi-cis-772602,0.0,1,cisterna,4,cisterna_4,static,True,constructive,False,1.0,0,0,6,6,0,0,0,0,0,0,-0.1835024486056548,1.17,-0.026145744834544477,,,,0.8894558003753656,,,,,,,,,,,,1.0,0.74,0.55,,,,4,1.17,,,,,,,
20260526-184203-sentence-script-stacked-curved-golgi-cis-772602,0.0,1,cisterna,5,cisterna_5,static,True,constructive,False,1.0,0,0,6,6,0,0,0,0,0,0,-0.2254081497184757,2.0500000000000003,0.01134648741852905,,,,0.8732860580269489,,,,,,,,,,,,1.0,0.62,0.78,,,,5,2.0500000000000003,,,,,,,
20260526-184203-sentence-script-stacked-curved-golgi-cis-772602,0.0,1,receptor,0,receptor_0,static,True,constructive,False,1.0,0,0,6,6,0,0,0,0,0,0,5.46,1.0637964487339797,-1.3005309731496544,,,,0.11279839017704037,,,,,,,,,,,,0.25,0.58,0.9,0.5,,,,,0,5.55,,,,,
20260526-184203-sentence-script-stacked-curved-golgi-cis-772602,0.0,1,receptor,1,receptor_1,static,True,constructive,False,1.0,0,0,6,6,0,0,0,0,0,0,5.46,1.9263863040262725,1.4729458654816883,,,,0.174983128447309,,,,,,,,,,,,0.25,0.58,0.9,0.5,,,,,1,5.55,,,,,
20260526-184203-sentence-script-stacked-curved-golgi-cis-772602,0.0,1,receptor,2,receptor_2,static,True,constructive,False,1.0,0,0,6,6,0,0,0,0,0,0,5.46,-1.4462939830876773,1.5438423360507127,,,,0.16273183141378844,,,,,,,,,,,,0.25,0.58,0.9,0.5,,,,,2,5.55,,,,,
20260526-184203-sentence-script-stacked-curved-golgi-cis-772602,0.0,1,receptor,3,receptor_3,static,True,constructive,False,1.0,0,0,6,6,0,0,0,0,0,0,5.46,-2.2732815690929953,-1.8428727368152475,,,,0.1407527614611223,,,,,,,,,,,,0.25,0.58,0.9,0.5,,,,,3,5.55,,,,,
20260526-184203-sentence-script-stacked-curved-golgi-cis-772602,0.0,1,receptor,4,receptor_4,static,True,constructive,False,1.0,0,0,6,6,0,0,0,0,0,0,5.46,-0.11677891988619749,0.7321156845215664,,,,0.14255114044279327,,,,,,,,,,,,0.25,0.58,0.9,0.5,,,,,4,5.55,,,,,
20260526-184203-sentence-script-stacked-curved-golgi-cis-772602,0.0,1,receptor,5,receptor_5,static,True,constructive,False,1.0,0,0,6,6,0,0,0,0,0,0,5.46,0.1292637134571213,-1.6677441949933018,,,,0.1627784642695574,,,,,,,,,,,,0.25,0.58,0.9,0.5,,,,,5,5.55,,,,,
20260526-184203-sentence-script-stacked-curved-golgi-cis-772602,0.0,1,receptor,6,receptor_6,static,True,constructive,False,1.0,0,0,6,6,0,0,0,0,0,0,5.46,-2.279855191647896,0.4147062256715821,,,,0.14517521615700169,,,,,,,,,,,,0.25,0.58,0.9,0.5,,,,,6,5.55,,,,,
20260526-184203-sentence-script-stacked-curved-golgi-cis-772602,0.0,1,receptor,7,receptor_7,static,True,constructive,False,1.0,0,0,6,6,0,0,0,0,0,0,5.46,0.2703101457366559,-1.821576891477068,,,,0.16205537826359745,,,,,,,,,,,,0.25,0.58,0.9,0.5,,,,,7,5.55,,,,,
