run_id,sample_index,recording_time_seconds,frame,round_index,simulation_time_seconds,progress,stage,paused,ai_enabled,ai_mode,ai_override,ai_mode_timer,ai_stagnation_time,speed_modifier,human_speed_bias,ai_noise,pull_bias,constriction_bias,drift_bias,complete_timer,chromosome_separation,attachment_ratio,particle_count,marker_count,wrapper_count,daughter_distance,entity_type,entity_id,entity_part,x,y,z,vx,vy,vz,radius,visible,left_attached,right_attached,connector_visible,notes
20260526-035836-sentence-script-a-transparent-3d-cell-un-494f99,0,0.016667,1,1,0.016667,0.000745,Prophase: duplicated chromosomes condense,0,1,OBSERVE,0,0.016667,0.000000,0.992800,1.000000,0.001826,1.000000,1.000000,1.000000,0.000000,0.160000,1.000000,0,1,0,1.440000,chromosome,1,left_chromatid,-0.151705,0.280464,0.282599,,,,0.159010,1,1,1,1,
20260526-035836-sentence-script-a-transparent-3d-cell-un-494f99,0,0.016667,1,1,0.016667,0.000745,Prophase: duplicated chromosomes condense,0,1,OBSERVE,0,0.016667,0.000000,0.992800,1.000000,0.001826,1.000000,1.000000,1.000000,0.000000,0.160000,1.000000,0,1,0,1.440000,chromosome,1,right_chromatid,0.008295,0.280475,0.282763,,,,0.154997,1,1,1,1,
20260526-035836-sentence-script-a-transparent-3d-cell-un-494f99,0,0.016667,1,1,0.016667,0.000745,Prophase: duplicated chromosomes condense,0,1,OBSERVE,0,0.016667,0.000000,0.992800,1.000000,0.001826,1.000000,1.000000,1.000000,0.000000,0.160000,1.000000,0,1,0,1.440000,chromosome,2,left_chromatid,-0.216657,0.151214,0.529922,,,,0.159073,1,1,1,1,
20260526-035836-sentence-script-a-transparent-3d-cell-un-494f99,0,0.016667,1,1,0.016667,0.000745,Prophase: duplicated chromosomes condense,0,1,OBSERVE,0,0.016667,0.000000,0.992800,1.000000,0.001826,1.000000,1.000000,1.000000,0.000000,0.160000,1.000000,0,1,0,1.440000,chromosome,2,right_chromatid,-0.056657,0.151339,0.530029,,,,0.139890,1,1,1,1,
20260526-035836-sentence-script-a-transparent-3d-cell-un-494f99,0,0.016667,1,1,0.016667,0.000745,Prophase: duplicated chromosomes condense,0,1,OBSERVE,0,0.016667,0.000000,0.992800,1.000000,0.001826,1.000000,1.000000,1.000000,0.000000,0.160000,1.000000,0,1,0,1.440000,chromosome,3,left_chromatid,-0.024049,-0.416462,0.646777,,,,0.146198,1,1,1,1,
20260526-035836-sentence-script-a-transparent-3d-cell-un-494f99,0,0.016667,1,1,0.016667,0.000745,Prophase: duplicated chromosomes condense,0,1,OBSERVE,0,0.016667,0.000000,0.992800,1.000000,0.001826,1.000000,1.000000,1.000000,0.000000,0.160000,1.000000,0,1,0,1.440000,chromosome,3,right_chromatid,0.135951,-0.416298,0.646781,,,,0.129481,1,1,1,1,
20260526-035836-sentence-script-a-transparent-3d-cell-un-494f99,0,0.016667,1,1,0.016667,0.000745,Prophase: duplicated chromosomes condense,0,1,OBSERVE,0,0.016667,0.000000,0.992800,1.000000,0.001826,1.000000,1.000000,1.000000,0.000000,0.160000,1.000000,0,1,0,1.440000,chromosome,4,left_chromatid,-0.155535,-0.719437,0.299954,,,,0.132221,1,1,1,1,
20260526-035836-sentence-script-a-transparent-3d-cell-un-494f99,0,0.016667,1,1,0.016667,0.000745,Prophase: duplicated chromosomes condense,0,1,OBSERVE,0,0.016667,0.000000,0.992800,1.000000,0.001826,1.000000,1.000000,1.000000,0.000000,0.160000,1.000000,0,1,0,1.440000,chromosome,4,right_chromatid,0.004465,-0.719298,0.299868,,,,0.133340,1,1,1,1,
20260526-035836-sentence-script-a-transparent-3d-cell-un-494f99,0,0.016667,1,1,0.016667,0.000745,Prophase: duplicated chromosomes condense,0,1,OBSERVE,0,0.016667,0.000000,0.992800,1.000000,0.001826,1.000000,1.000000,1.000000,0.000000,0.160000,1.000000,0,1,0,1.440000,chromosome,5,left_chromatid,-0.109847,-0.693205,-0.238032,,,,0.129994,1,1,1,1,
20260526-035836-sentence-script-a-transparent-3d-cell-un-494f99,0,0.016667,1,1,0.016667,0.000745,Prophase: duplicated chromosomes condense,0,1,OBSERVE,0,0.016667,0.000000,0.992800,1.000000,0.001826,1.000000,1.000000,1.000000,0.000000,0.160000,1.000000,0,1,0,1.440000,chromosome,5,right_chromatid,0.050153,-0.693155,-0.237875,,,,0.147919,1,1,1,1,
20260526-035836-sentence-script-a-transparent-3d-cell-un-494f99,0,0.016667,1,1,0.016667,0.000745,Prophase: duplicated chromosomes condense,0,1,OBSERVE,0,0.016667,0.000000,0.992800,1.000000,0.001826,1.000000,1.000000,1.000000,0.000000,0.160000,1.000000,0,1,0,1.440000,chromosome,6,left_chromatid,-0.024656,-0.290433,-0.444043,,,,0.141563,1,1,1,1,
20260526-035836-sentence-script-a-transparent-3d-cell-un-494f99,0,0.016667,1,1,0.016667,0.000745,Prophase: duplicated chromosomes condense,0,1,OBSERVE,0,0.016667,0.000000,0.992800,1.000000,0.001826,1.000000,1.000000,1.000000,0.000000,0.160000,1.000000,0,1,0,1.440000,chromosome,6,right_chromatid,0.135344,-0.290407,-0.443881,,,,0.159815,1,1,1,1,
20260526-035836-sentence-script-a-transparent-3d-cell-un-494f99,0,0.016667,1,1,0.016667,0.000745,Prophase: duplicated chromosomes condense,0,1,OBSERVE,0,0.016667,0.000000,0.992800,1.000000,0.001826,1.000000,1.000000,1.000000,0.000000,0.160000,1.000000,0,1,0,1.440000,chromosome,7,left_chromatid,-0.037931,0.114911,-0.666069,,,,0.156292,1,1,1,1,
20260526-035836-sentence-script-a-transparent-3d-cell-un-494f99,0,0.016667,1,1,0.016667,0.000745,Prophase: duplicated chromosomes condense,0,1,OBSERVE,0,0.016667,0.000000,0.992800,1.000000,0.001826,1.000000,1.000000,1.000000,0.000000,0.160000,1.000000,0,1,0,1.440000,chromosome,7,right_chromatid,0.122069,0.114991,-0.665926,,,,0.158090,1,1,1,1,
20260526-035836-sentence-script-a-transparent-3d-cell-un-494f99,0,0.016667,1,1,0.016667,0.000745,Prophase: duplicated chromosomes condense,0,1,OBSERVE,0,0.016667,0.000000,0.992800,1.000000,0.001826,1.000000,1.000000,1.000000,0.000000,0.160000,1.000000,0,1,0,1.440000,chromosome,8,left_chromatid,-0.201712,0.500337,-0.466515,,,,0.160639,1,1,1,1,
20260526-035836-sentence-script-a-transparent-3d-cell-un-494f99,0,0.016667,1,1,0.016667,0.000745,Prophase: duplicated chromosomes condense,0,1,OBSERVE,0,0.016667,0.000000,0.992800,1.000000,0.001826,1.000000,1.000000,1.000000,0.000000,0.160000,1.000000,0,1,0,1.440000,chromosome,8,right_chromatid,-0.041712,0.500366,-0.466677,,,,0.144330,1,1,1,1,
20260526-035836-sentence-script-a-transparent-3d-cell-un-494f99,0,0.016667,1,1,0.016667,0.000745,Prophase: duplicated chromosomes condense,0,1,OBSERVE,0,0.016667,0.000000,0.992800,1.000000,0.001826,1.000000,1.000000,1.000000,0.000000,0.160000,1.000000,0,1,0,1.440000,marker,0,glyph,0.000000,0.950300,0.000000,,,,0.075000,1,,,,duplicated chromosome cluster
20260526-035836-sentence-script-a-transparent-3d-cell-un-494f99,1,0.100000,6,1,0.100000,0.004398,Prophase: duplicated chromosomes condense,0,1,OBSERVE,0,0.100000,0.066667,0.963150,1.000000,0.009236,1.000000,1.000000,1.000000,0.000000,0.160000,1.000000,0,1,0,1.440000,simulation,global,summary,,,,,,,,,,,,
20260526-035836-sentence-script-a-transparent-3d-cell-un-494f99,1,0.100000,6,1,0.100000,0.004398,Prophase: duplicated chromosomes condense,0,1,OBSERVE,0,0.100000,0.066667,0.963150,1.000000,0.009236,1.000000,1.000000,1.000000,0.000000,0.160000,1.000000,0,1,0,1.440000,cell,single,cell_body,0.000000,0.000000,0.000000,,,,1.725305,1,,,,
20260526-035836-sentence-script-a-transparent-3d-cell-un-494f99,1,0.100000,6,1,0.100000,0.004398,Prophase: duplicated chromosomes condense,0,1,OBSERVE,0,0.100000,0.066667,0.963150,1.000000,0.009236,1.000000,1.000000,1.000000,0.000000,0.160000,1.000000,0,1,0,1.440000,cell,single,membrane,0.000000,0.000000,0.000000,,,,1.775305,1,,,,
20260526-035836-sentence-script-a-transparent-3d-cell-un-494f99,1,0.100000,6,1,0.100000,0.004398,Prophase: duplicated chromosomes condense,0,1,OBSERVE,0,0.100000,0.066667,0.963150,1.000000,0.009236,1.000000,1.000000,1.000000,0.000000,0.160000,1.000000,0,1,0,1.440000,cell,left_daughter,body,-0.720000,0.000000,0.000000,,,,1.220000,1,,,,
20260526-035836-sentence-script-a-transparent-3d-cell-un-494f99,1,0.100000,6,1,0.100000,0.004398,Prophase: duplicated chromosomes condense,0,1,OBSERVE,0,0.100000,0.066667,0.963150,1.000000,0.009236,1.000000,1.000000,1.000000,0.000000,0.160000,1.000000,0,1,0,1.440000,cell,right_daughter,body,0.720000,0.000000,0.000000,,,,1.220000,1,,,,
20260526-035836-sentence-script-a-transparent-3d-cell-un-494f99,1,0.100000,6,1,0.100000,0.004398,Prophase: duplicated chromosomes condense,0,1,OBSERVE,0,0.100000,0.066667,0.963150,1.000000,0.009236,1.000000,1.000000,1.000000,0.000000,0.160000,1.000000,0,1,0,1.440000,nucleus,left,body,-0.720000,0.000000,0.000000,,,,0.860000,1,,,,
20260526-035836-sentence-script-a-transparent-3d-cell-un-494f99,1,0.100000,6,1,0.100000,0.004398,Prophase: duplicated chromosomes condense,0,1,OBSERVE,0,0.100000,0.066667,0.963150,1.000000,0.009236,1.000000,1.000000,1.000000,0.000000,0.160000,1.000000,0,1,0,1.440000,nucleus,right,body,0.720000,0.000000,0.000000,,,,0.860000,1,,,,
20260526-035836-sentence-script-a-transparent-3d-cell-un-494f99,1,0.100000,6,1,0.100000,0.004398,Prophase: duplicated chromosomes condense,0,1,OBSERVE,0,0.100000,0.066667,0.963150,1.000000,0.009236,1.000000,1.000000,1.000000,0.000000,0.160000,1.000000,0,1,0,1.440000,spindle_pole,left,pole,-0.550000,0.000000,0.000000,,,,0.139735,1,,,,
20260526-035836-sentence-script-a-transparent-3d-cell-un-494f99,1,0.100000,6,1,0.100000,0.004398,Prophase: duplicated chromosomes condense,0,1,OBSERVE,0,0.100000,0.066667,0.963150,1.000000,0.009236,1.000000,1.000000,1.000000,0.000000,0.160000,1.000000,0,1,0,1.440000,spindle_pole,right,pole,0.550000,0.000000,0.000000,,,,0.151580,1,,,,
20260526-035836-sentence-script-a-transparent-3d-cell-un-494f99,1,0.100000,6,1,0.100000,0.004398,Prophase: duplicated chromosomes condense,0,1,OBSERVE,0,0.100000,0.066667,0.963150,1.000000,0.009236,1.000000,1.000000,1.000000,0.000000,0.160000,1.000000,0,1,0,1.440000,cleavage_ring,main,ring,0.000000,0.000000,0.000000,,,,1.470000,1,,,,
20260526-035836-sentence-script-a-transparent-3d-cell-un-494f99,1,0.100000,6,1,0.100000,0.004398,Prophase: duplicated chromosomes condense,0,1,OBSERVE,0,0.100000,0.066667,0.963150,1.000000,0.009236,1.000000,1.000000,1.000000,0.000000,0.160000,1.000000,0,1,0,1.440000,bridge,main,cytokinetic_bridge,-0.160000,0.000000,0.000000,,,,1.280000,1,,,,
